"ALL GROUPS","ALLE GRUPPER"
"Customer Group","Kundegruppe"
"Minimum Qty","Minimum antall"
"Add Minimum Qty","Legg til minimum antall"
"We can't rebuild the index for an undefined product.","Vi kan ikke bygge indeksen for en udefinert produkt."
"Could not rebuild index for empty products array","Kunne ikke bygge indeksen for tom produkter matrise"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","Dette produktet er ikke på lager."
"Some of the products are out of stock.","Noen av produktene er utsolgt."
"The stock item for Product in option is not valid.","Lagervare for produktet i alternativet er ikke gyldig."
"Undefined product type","Udefinert produkttype"
"%1 is not a correct comparison method.","%1 er ikke en riktig sammenligningsmetode."
"No Backorders","Ingen restordrer"
"Allow Qty Below 0","Tillate antall under 0"
"Allow Qty Below 0 and Notify Customer","Tillate antall under 0 og gi kunde beskjed"
"In Stock","På lager"
"Out of Stock","Ikke på lager"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","Kan ikke fjerne lager med id ""%1"
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","Det minste du kan kjøpe er %1."
"Please correct the quantity for some products.","Korriger antallet for noen produkter."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","You can buy %1 only in quantities of %2 at a time."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Lagerstatus"
"Quantity","Antall"
"Advanced Inventory","Avansert lager"
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Only %1 left"
"Product availability","Produkt tilgjengelighet"
"Product Name","Produktnavn"
"Qty","Antall"
"Inventory Section","Inventory Section"
"Inventory","Lager"
"Stock Options","Lager alternativer"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","Vis varer som ikke er på lager"
"Products will still be shown by direct product URLs.","Produkter vil fremdeles være vist ved direkte produkt url."
"Only X left Threshold","Bare X igjen terskelverdi"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","Alternativer for produktlager"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Administrer lager"
"Backorders","Restordre"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Out-of-Stock Threshold","Ut-av-lager terskel"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","Aktiver antall intervaller"
"Qty Increments","Antall intervaller"
"Stock","Tilgjengelighet"
"Index stock","Indekser lager"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Qty Uses Decimals","Antall bruker desimaler"
"Allow Multiple Boxes for Shipping","Tillat flere esker for levering"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","Products lagerføring er ikke korrekt. Verifiser lagerføringen og prøv igjen."
"The stock item was unable to be saved. Please try again.","Lager elementet kunne ikke lagres. Prøv på nytt."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
