"ALL GROUPS","모든 그룹 "
"Customer Group","고객 그룹"
"Minimum Qty","최소 수량"
"Add Minimum Qty","최소 수량 추가"
"We can't rebuild the index for an undefined product.","정의되지 않은 제품에 대해 인덱스를 재생성할 수 없습니다."
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","품절상태입니다."
"Some of the products are out of stock.","몇가지 제품이 품절상태 입니다."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"Undefined product type","저으이되지 않은 상품 타입"
"%1 is not a correct comparison method.","%1은 잘못된 비교 방법 입니다."
"No Backorders","주문지연 없음"
"Allow Qty Below 0","0 이하의 수량을 허용"
"Allow Qty Below 0 and Notify Customer","0 이하의 수량을 허용하고 고객에게 통보"
"In Stock","재고 있음"
"Out of Stock","품절"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","상품 %1의 재고 상태를 삭제할 수 없습니다."
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","가장 적은 결제 금액은 %1 입니다."
"Please correct the quantity for some products.","몇가지 제품의 수량을 수정해 주시기 바랍니다."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","You can buy %1 only in quantities of %2 at a time."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","재고 상태"
"Quantity","수량"
"Advanced Inventory","Advanced Inventory"
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Only %1 left"
"Product availability","상품 재고상태"
"Product Name","상품명"
"Qty","수량"
"Inventory Section","Inventory Section"
"Inventory","Inventory"
"Stock Options","재고 옵션"
"Decrease Stock When Order is Placed","주문시 재고수량 감소"
"Set Items' Status to be In Stock When Order is Cancelled","주문 캔슬시 품절상태 취소"
"Display Out of Stock Products","품절 상품 표시"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Only X left Threshold","Only X left Threshold"
"Display Products Availability in Stock on Storefront","Display Products Availability in Stock on Storefront"
"Product Stock Options","상품 재고 옵션"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","재고 관리"
"Backorders","지연된 주문"
"Maximum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최대 수량"
"Out-of-Stock Threshold","품절 임계치"
"Minimum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최소 수량"
"Notify for Quantity Below","해당 수량 이하일때 알림"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","수량 증가 사용"
"Qty Increments","수량 증가"
"Stock","재고"
"Index stock","재고 인덱스"
"Use Config Settings","스토어 설정값 사용"
"Qty Uses Decimals","수량에 소수점 사용"
"Allow Multiple Boxes for Shipping","배송시 복수 박스 포장 허용"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Use Deferred Stock Update"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","The requested qty is not available"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
