"ALL GROUPS","KÕIK GRUPID"
"Customer Group","Kliendigrupp"
"Minimum Qty","Minimaalne kogus"
"Add Minimum Qty","Lisage Minimaalne kogus"
"We can't rebuild the index for an undefined product.","Me ei saa taastada määramatu toote indeksit."
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","See toode on laost otsas."
"Some of the products are out of stock.","Osad tooted on laost otsas."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"Undefined product type","Defineerimata toote tüüp"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"No Backorders","Keela järeltellimused"
"Allow Qty Below 0","Luba kogus alla 0"
"Allow Qty Below 0 and Notify Customer","Luba kogus alla 0 ja teavita klienti"
"In Stock","Laos"
"Out of Stock","Laost otsas"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Ei saa salvestada laoseisu"
"Stock with id ""%1"" does not exist.","Laoseis Id'le ""%1"" ei eksisteeri."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"Unable to save Stock Status","Ei saa salvestada laoseisu olekut"
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Toode tootekoodiga ""%1"" ei eksisteeri"
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"Please correct the quantity for some products.","Palun korrigeerige osade toodete kogus."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","You can buy %1 only in quantities of %2 at a time."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Laoseis"
"Quantity","Kogus"
"Advanced Inventory","Täpsem inventar"
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Ainult %1 järgi"
"Product availability","Toote saadavus"
"Product Name","Toote nimi"
"Qty","Kogus"
"Inventory Section","Ladu"
"Inventory","Ladu"
"Stock Options","Lao valikud"
"Decrease Stock When Order is Placed","Vähenda laoseisu peale tellimuse esitamist"
"Set Items' Status to be In Stock When Order is Cancelled","Muuda toode laosolevaks kui tellimus tühistatakse"
"Display Out of Stock Products","Näita tooteid mida laos pole"
"Products will still be shown by direct product URLs.","Tooteid ikka näidatakse otsese URLi kaudu"
"Only X left Threshold","Ainult x järgi künnis"
"Display Products Availability in Stock on Storefront","Näita toote saadavust poes"
"Product Stock Options","Toote laoseisu valikud"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Halda laoseisu"
"Backorders","Järeltellimused"
"Maximum Qty Allowed in Shopping Cart","Suurim ostukorvis lubatud kogus"
"Out-of-Stock Threshold","Laost otsas künnis"
"Minimum Qty Allowed in Shopping Cart","Väikseim ostukorvis lubatud kogus"
"Notify for Quantity Below","Teavita alla kogust"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","Luba kogusesamme"
"Qty Increments","Kogusesamm"
"Stock","Ladu"
"Index stock","Indekseeri ladu"
"Use Config Settings","Kasuta üldseadeid"
"Qty Uses Decimals","Kogus võimaldab komakohti"
"Allow Multiple Boxes for Shipping","Allow Multiple Boxes for Shipping"
"Done","Done"
