"ALL GROUPS","ಎಲ್ಲಾ ಗುಂಪುಗಳು"
"Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು"
"Minimum Qty","ಕನಿಷ್ಟ ಪರಿಮಾಣ"
"Add Minimum Qty","ಕನಿಷ್ಟ ಪರಿಮಾಣ ಸೇರಿಸಿ"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","ಈ ಉತ್ಪನ್ನ ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"Some of the products are out of stock.","ಕೆಲವು ಉತ್ಪನ್ನಗಳು ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"Undefined product type","ಅನಿಶ್ಚಿತ ಉತ್ಪನ್ನದ ವಿಧ"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"No Backorders","ಮರುವ್ಯಾಪಾರಾದೇಶಗಳಿಲ್ಲ"
"Allow Qty Below 0","0 ಗಿಂತ ಕೆಳಗಿನ ಪರಿಮಾಣವನ್ನು ಅನುಮತಿಸಿ"
"Allow Qty Below 0 and Notify Customer","ಪರಿಮಾಣವನ್ನು 0 ದಿಂದ ಕೆಳಗೆ ಅನುಮತಿಸಿ ಮತ್ತು ಗ್ರಾಹಕರಿಗೆ ತಿಳಿಸಿ"
"In Stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Out of Stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","""%1"" ಐಡಿಯೊಂದಿಗಿನ ದಾಸ್ತಾನನ್ನು ತೆಗೆದುಹಾಕಲು ಸಾಧ್ಯವಾಗಿಲ್ಲ"
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","%1 ಉತ್ಪನ್ನದ ದಾಸ್ತಾನು ಸ್ಥಿತಿಯನ್ನು ತೆಗೆದುಹಾಕಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","ನೀವು ಖರೀದಿಸಬಹುದಾದ ಕನಿಷ್ಟ ಸಂಖ್ಯೆ %1."
"Please correct the quantity for some products.","ದಯವಿಟ್ಟು ಕೆಲವು ಉತ್ಪನ್ನಗಳ ಪರಿಮಾಣವನ್ನು ಸರಿಪಡಿಸಿ."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","ನೀವು %1 ನ್ನು ಒಂದು ಬಾರಿಗೆ %2 ರ ಪರಿಮಾಣದಲ್ಲಿ ಮಾತ್ರ ಖರೀದಿಸಬಹುದು."
"You can buy this product only in quantities of %1 at a time.","ನೀವು ಈ ಉತ್ಪನ್ನವನ್ನು ಒಂದು ಬಾರಿಗೆ %1 ರ ಪರಿಮಾಣದಲ್ಲಿ ಮಾತ್ರ ಖರೀದಿಸಬಹುದು."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","ದಾಸ್ತಾನು ಸ್ಥಿತಿಗತಿ"
"Quantity","ಪರಿಮಾಣ"
"Advanced Inventory","ಸುಧಾರಿತ ದಾಸ್ತಾನುಪಟ್ಟಿ"
