"ALL GROUPS","MINDEN CSOPORT"
"Customer Group","Vásárlói csoport"
"Minimum Qty","Minimális mennyiség"
"Add Minimum Qty","Minimális mennyiség hozzáadása"
"We can't rebuild the index for an undefined product.","Nem tudjuk újraépíteni a mutatót egy nem meghatározott termékre."
"Could not rebuild index for empty products array","Üres termék tömbnek nem lehet újjáépíteni az indexét"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","Ez a termék nincs készleten."
"Some of the products are out of stock.","Néhány termék nincs raktáron."
"The stock item for Product in option is not valid.","A raktár elem a választott termékhez érvénytelen."
"Undefined product type","Meghatározatlan terméktípus"
"%1 is not a correct comparison method.","%1 nem megfelelő összehasonlító módszer."
"No Backorders","Nincs előrendelés"
"Allow Qty Below 0","0 alatti készlet engedélyezése"
"Allow Qty Below 0 and Notify Customer","0 alatti készlet engedélyezése és a vásárló figyelmeztetése"
"In Stock","Raktáron"
"Out of Stock","Nincs raktáron"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","Nem törölhető a ""%1"" azonosítójú raktár"
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","A %1 termék raktár állapotát nem lehet eltávolítani"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","A legkisebb rendelhető mennyiség %1."
