"ALL GROUPS","എല്ലാ ഗ്രൂപ്പുകളും"
"Customer Group","ഉപഭോക്തൃ ഗ്രൂപ്പ്"
"Minimum Qty","കുറഞ്ഞ അളവ്"
"Add Minimum Qty","കുറഞ്ഞ അളവ് ചേർക്കുക"
"We can't rebuild the index for an undefined product.","നിർവചിക്കപ്പെടാത്ത ഒരു ഉൽപ്പന്നത്തിനായി ഞങ്ങൾക്ക് സൂചിക പുനർനിർമ്മിക്കാൻ കഴിയില്ല."
"Could not rebuild index for empty products array","ശൂന്യമായ ഉൽ‌പ്പന്ന അറേയ്‌ക്കായി സൂചിക പുനർ‌നിർമ്മിക്കാൻ‌ കഴിഞ്ഞില്ല"
"The stock item for Product is not valid.","ഉൽപ്പന്നത്തിനായുള്ള സ്റ്റോക്ക് ഐറ്റം സാധുവല്ല."
"This product is out of stock.","ഈ ഉൽപ്പന്നം സ്റ്റോക്കില്ല."
"Some of the products are out of stock.","ചില ഉൽ‌പ്പന്നങ്ങൾ‌ സ്റ്റോക്കില്ല."
"The stock item for Product in option is not valid.","പ്രൊഡക്റ്റ് ഇൻ ഓപ്ഷനായുള്ള സ്റ്റോക്ക് ഇനം സാധുവല്ല."
"Undefined product type","Undefined product type"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"No Backorders","No Backorders"
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Invalid stock id: %1. Only default stock with id %2 allowed"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Invalid stock item id: %1. Should be null or numeric value greater than 0"
