"ALL GROUPS","СВЕ ГРУПЕ"
"Customer Group","Група купаца"
"Minimum Qty","Минимална кол"
"Add Minimum Qty","Додајте минимална кол"
"We can't rebuild the index for an undefined product.","Не можемо поново да направимо индекс за недефинисани производ."
"Could not rebuild index for empty products array","Не можемо обновити индеx за празан низ производа"
"The stock item for Product is not valid.","Тхе стоцк итем фор Производ ис нот валид."
"This product is out of stock.","Овај производ немамо на стању."
"Some of the products are out of stock.","Неке од ових производа немамо на стању."
"The stock item for Product in option is not valid.","Ставка у магацину за опције Производа није валидна."
"Undefined product type","Недефинисани тип производа"
"%1 is not a correct comparison method.","%1 није правилна метода поређења."
"No Backorders","Нема претходних поруџбина"
"Allow Qty Below 0","Дозволи кол испод 0"
"Allow Qty Below 0 and Notify Customer","Дозволи Кол испод 0 и обавести купца"
"In Stock","На стању"
"Out of Stock","Нема на лагеру"
"Unable to save Stock Item","Није могуће сачувати ставку залиха"
"Stock Item with id ""%1"" does not exist.","Ставка залиха са ИД ""%1"" не постоји."
"Unable to remove Stock Item with id ""%1""","Није могуће уклонити ставку залиха са ИД ""%1"""
"Unable to save Stock","Није могуће сачувати залихе"
"Stock with id ""%1"" does not exist.","Залихе са ИД ""%1"" не постоје."
"Unable to remove Stock with id ""%1""","Није могуће уклонити магацин са ид ""%1"""
"Unable to save Stock Status","Није могуће сачувати статус залиха"
"Unable to remove Stock Status for product %1","Није могуће уклонити статус магацина за производ %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Неисправан стоцк ид: %1. Онлy дефаулт стоцк wитх ид %2 аллоwед"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Неисправан стоцк итем ид: %1. Схоулд бе нулл ор нумериц валуе греатер тхан 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Неисправан стоцк итем ид: %1. Ассигнед стоцк итем ид ис %2"
"Not all of your products are available in the requested quantity.","Неки од производа нису доступни у траженој количини."
"Product with SKU ""%1"" does not exist","Производ са шифром %1 не постоји"
"The fewest you may purchase is %1.","Можете поручити најмање %1."
"Please correct the quantity for some products.","Молимо коригујте количине неких производа."
"The most you may purchase is %1.","Највише можете поручити %1."
"We don't have as many ""%1"" as you requested.","Немамо довољно ""%1"" колико сте захтевали."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Немамо довољно ""%1"" колико сте захтевали, али ћемо поручити преосталих %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Немамо ""%1"" у траженој количини, па ћемо поручити преосталих %2."
"You can buy %1 only in quantities of %2 at a time.","Можете купити %1 само у количини од %2 ођедном."
"You can buy this product only in quantities of %1 at a time.","Овај производ можете купити само у количини од %1 ођедном."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"Stock Status","Статус Залиха"
"Quantity","Количина"
"Advanced Inventory","Напредне залиха"
"%1 is available to buy in increments of %2","%1 је доступна да се купи у количинама %2"
"Only %1 left","Само %1 је остао"
"Product availability","Доступност производа"
"Product Name","Назив производа"
"Qty","Кол"
"Inventory Section","Сектор инвентара"
"Inventory","Инвентар"
"Stock Options","Опције залиха"
"Decrease Stock When Order is Placed","Умањи залихе када се поручи производ"
"Set Items' Status to be In Stock When Order is Cancelled","Подеси да статус производа буде ""Доступан"" када је поруџбина отказана"
"Display Out of Stock Products","Прикажи производе којих нема на стању"
"Products will still be shown by direct product URLs.","Производи ће и даље бити приказани директним уносом адресе."
"Only X left Threshold","Само је X остао на почетку"
"Display Products Availability in Stock on Storefront","Прикажи доступност производа у залихама у продавници"
"Product Stock Options","Опције залиха производа"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Магенто магацин"
"Backorders","Последње поруџбине"
"Maximum Qty Allowed in Shopping Cart","Максимална количина дозвољена у корпи"
"Out-of-Stock Threshold","Нема на залихама Тхресхолд"
"Minimum Qty Allowed in Shopping Cart","Минимална количина дозвољена у корпи"
"Notify for Quantity Below","Обавести за количину испод"
"Automatically Return Credit Memo Item to Stock","Аутоматски врати кредитни меморандум на залиху"
"Enable Qty Increments","Омогући повећање количине"
"Qty Increments","Повећање количине"
"Stock","Залихе"
"Index stock","Индеx залиха"
"Use Config Settings","Користи конфигурациона подешавања"
"Qty Uses Decimals","Количина користи децимале"
"Allow Multiple Boxes for Shipping","Допустити паковање у више кутија ради испоруке"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Use Deferred Stock Update","Користи одложено ажурирање залиха"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"The Product stock item is invalid. Verify the stock item and try again.","Погрешна ставка у листи производа. Проверите ставку и покушајте поново."
"The stock item was unable to be saved. Please try again.","Производ није могао бити сачуван. Молимо покушајте поново."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","Производ са ""%1"" ИД-јем није пронађен. Проверите ИД и покушајте поново."
"The stock was unable to be saved. Please try again.","Лагер није могао бити сачуван. Молимо покушајте поново."
