"ALL GROUPS","ALLE GRUPPER"
"Customer Group","Kundegruppe"
"Minimum Qty","Minimum antal"
"Add Minimum Qty","Tilføj minimum antal"
"We can't rebuild the index for an undefined product.","Vi kan ikke genopbygge indekset for et udefineret produkt."
"Could not rebuild index for empty products array","Kunne ikke genopbygge indekset af tomme produkter"
"The stock item for Product is not valid.","Lagervare til Produktet er ikke gyldigt."
"This product is out of stock.","Denne vare er udsolgt."
"Some of the products are out of stock.","Nogle af produkterne er ikke på lager."
"The stock item for Product in option is not valid.","Lagervare for produktet i indstilling er ikke gyldig."
"Undefined product type","Udefineret produkttype"
"%1 is not a correct comparison method.","%1 er ikke en korrekt sammenligningsmetode."
"No Backorders","Ingen restordrer"
"Allow Qty Below 0","Tillad antal under 0"
"Allow Qty Below 0 and Notify Customer","Tillad antal under 0 og underret kunden"
"In Stock","På lager"
"Out of Stock","Udsolgt"
"Unable to save Stock Item","Ikke i stand fra opspare lagervare"
"Stock Item with id ""%1"" does not exist.","Lagervare med id ""%1"" findes ikke."
"Unable to remove Stock Item with id ""%1""","Ikke i stand til at fjerne lagervare med id ""%1"""
"Unable to save Stock","Ikke i stand til at gemme lager"
"Stock with id ""%1"" does not exist.","Lager med id ""%1"" findes ikke."
"Unable to remove Stock with id ""%1""","Ikke i stand til at fjerne lager med id ""%1"""
"Unable to save Stock Status","Ikke i stand til at gemme lager status"
"Unable to remove Stock Status for product %1","Ikke i stand til at fjerne lager status for produktet %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Ugyldigt stock-id: %1. Kun standard lager med id %2 tilladt"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Ugyldig lagervare id: %1. Skal være null eller numerisk værdi større end 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Ugyldig lagervare id: %1. Tildelte lagervare id er %2"
"Not all of your products are available in the requested quantity.","Ikke alle dine produkter er tilgængelige i den ønskede mængde."
"Product with SKU ""%1"" does not exist","Produkt med SKU ""%1"" findes ikke"
"The fewest you may purchase is %1.","Du skal minimum købe %1."
"Please correct the quantity for some products.","Ret venligst antallet for nogle produkter."
"The most you may purchase is %1.","Du må højest købe %1."
"We don't have as many ""%1"" as you requested.","Vi har ikke så mange ""%1"" som du anmodede om."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Vi har ikke så mange ""%1"" som du anmodede om, men vi vil bestille de resterende %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Vi har ikke så mange ""%1"" som du anmodede om, men vi vil bestille de resterende %2."
"You can buy %1 only in quantities of %2 at a time.","Du kan købe %1 kun i mængder af %2 på én gang."
"You can buy this product only in quantities of %1 at a time.","Købes i intervaller af %1."
"Decimal qty increments is not allowed.","Decimal af antal er ikke tilladt."
"Stock Status","Lagerstatus"
"Quantity","Antal"
"Advanced Inventory","Avanceret lager"
"%1 is available to buy in increments of %2","%1 er tilgængelig i intervaller af %2"
"Only %1 left","Kun %1 tilbage"
"Product availability","Produkttilgængelighed"
"Product Name","Produktnavn"
"Qty","Antal"
"Inventory Section","Lager afsnit"
"Inventory","Lager"
"Stock Options","Lageroptioner"
"Decrease Stock When Order is Placed","Nedskriv lager når ordren er afgivet"
"Set Items' Status to be In Stock When Order is Cancelled","Sæt produkternes status til at være på lager når ordren er annulleret"
"Display Out of Stock Products","Vis produkter der ikke er på lager"
"Products will still be shown by direct product URLs.","Produkter vil stadig blive vist ved direkte tilgang af produkt webadresser."
"Only X left Threshold","Kun X tilbage grænsværdi"
"Display Products Availability in Stock on Storefront","Display produkter tilgængelighed på lager på storefront"
"Product Stock Options","Produkt lagermuligheder"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Bemærk venligst at disse indstillinger gælder for individuelle produkter i indkøbskurven og ikke til hele indkøbskurven."
"Manage Stock","Administrer lager"
"Backorders","Restordrer"
"Maximum Qty Allowed in Shopping Cart","Maksimalt antal tilladt i indkøbskurv"
"Out-of-Stock Threshold","Ikke på lager grænsværdi"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tilladt i indkøbskurv"
"Notify for Quantity Below","Advisér for mængde under"
"Automatically Return Credit Memo Item to Stock","Automatisk lægge kreditnota på lager"
"Enable Qty Increments","Aktiver antal intervaller"
"Qty Increments","Antal intervaller"
"Stock","Lager"
"Index stock","Indeks lager"
"Use Config Settings","Brug Konfigurationsindstillinger"
"Qty Uses Decimals","Antal bruger decimaler"
"Allow Multiple Boxes for Shipping","Tillad flere kasser til forsendelse"
"Done","Done"
