"Default Config","Standard konfigurasjon"
"Save Config","Lagre konfig"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[NETTSTED]"
"[STORE VIEW]","[LAGERVISNING]"
"Use system value","Bruk systemverdi"
"Use Default","Bruk standard"
"Use Website","Bruk nettsted"
"Add","Legg til"
"Delete File","Slett fil"
"Search String","Søkestreng"
"Design Theme","Design Tema"
"Add \Exception","Legg til \Unntak"
"-- No Theme --","-- Ingen tema --"
"Enable","Aktivere"
"Disable","Deaktiver"
"Configuration","Innstillinger"
"Class for type ""%1"" was not declared","Klasse for type ""%1"" ble ikke erklært"
"%1 should implement %2","%1 burde implementere %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Verdien du har har definert har allerede blitt låst. For å endre verdi, bruk --%1 valget."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Konfigurasjon for banen: ""%1"" eksisterer ikke"
"System","System"
"You saved the configuration.","Du lagret konfigurasjonen."
"Something went wrong while saving this configuration:","Noe gikk galt under lagringen av denne konfigurasjonen:"
"Page not found.","Siden finnes ikke."
"Please specify the admin custom URL.","Angi den egendefinerte administrative adressen."
"Invalid %1. %2","Ugyldig %1. %2"
"Value must be a URL or one of placeholders: %1","Verdien må være en URL eller en av plassholdere: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Angi en URL eller bane som starter med plassholder(er): %1, og slutter med ""/""."
"%1 An empty value is allowed as well.","%1 En tom verdi er også tillatt."
"Specify a fully qualified URL.","Angi en fullstendig kvalifisert nettadresse."
"Selected allowed currency ""%1"" is not available in installed currencies.","Valgte tillatt valuta ""%1"" er ikke tilgjengelig i installerte valutaer."
"Default display currency ""%1"" is not available in allowed currencies.","Standard visning valuta""%1"" er ikke tilgjengelig i tillatte valutaer."
"Sorry, we haven't installed the base currency you selected.","Beklager, men vi har ikke installert grunnvalutaen du har valgt."
"We can't save the Cron expression.","Cron-regelen kan ikke lagres."
"Sorry, we haven't installed the default display currency you selected.","Beklager, men vi har ikke installert standardvalutaen du har valgt."
"Sorry, the default display currency you selected is not available in allowed currencies.","Beklager, standard visning av valuta du valgte er ikke tilgjengelig i tillatte valutaer."
"Please correct the email address: ""%1"".","Vennligst korriger e-postadressen: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Avsendernavnet ""%1"" er ikke gyldig. Bruk bare synlige tegn og mellomrom."
"Maximum sender name length is 255. Please correct your settings.","Maksimal avsenderens lengde er 255. Vennligst korriger innstillingene dine."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Filen du laster opp overskrider størrelsen på serveren som er %1 kilobyte."
"The base directory to upload file is not specified.","Hovedmappen hvor du skal laste opp filen er ikke definert."
"The specified image adapter cannot be used because of: %1","Den angitte bilde prosesseren kan ikke brukes på grunn av: %1"
"Default scope","Standard virkeområde"
"Base currency","Standardvalutaen"
"Display default currency","Vis standard valuta"
"website(%1) scope","nettsted(%1) virkeområde"
"store(%1) scope","butikk(%1) omfang"
"Currency ""%1"" is used as %2 in %3.","Valuta ""%1"" brukes som %2 i %3."
"Please correct the timezone.","Vennligst korriger tidssonen."
"The file ""%1"" does not exist","Filen ""%1"" eksisterer ikke"
"The ""%1"" path does not exist","""%1banen eksisterer ikke eller ikke tilgjengelig."
"Always (during development)","Alltid (under utvikling)"
"Only Once (version upgrade)","Bare en gang (versjon)"
"Never (production)","Aldri (produksjon)"
"Bcc","Blindkopi"
"Separate Email","Separat e-post"
"%1 (Default)","%1 (Standard)"
"title","tittel"
"No","Nei"
"Optional","Valgfritt"
"Required","Kreves"
"Website","Nettsted"
"Store","Butikk"
"Store View","Butikkvisning"
"HTTP (unsecure)","HTTP (usikker)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Ja (302 funnet)"
"Yes (301 Moved Permanently)","Ja (301 flyttet permanent)"
"Yes","Ja"
"Specified","Spesifisert"
"Visible section not found.","Finner ikke synlige seksjon."
"Config form fieldset clone model required to be able to clone fields","Konfigurasjonsskjema angitt klone modell kreves for å kunne klone felt"
"%1: Instance of %2 is expected, got %3 instead","%1: Forekomst av %2 er forventet, fikk %3 i stedet"
"Invalid XML in file %1:\n%2","Ugyldig XML i filen %1:\n%2"
".","."
"'There is no defined type ' .","'Det er ingen definert type ' ."
"'Object is not instance of ' .","""Objekt er ikke en instans av""."
"Filesystem is not writable.","Filsystemet har ikke nødvendige skriverettigheter."
"Some error","En feil har oppstått"
"Some message","Melding"
"You cannot run this command because the Magento application is not installed.","Du kan ikke kjøre denne kommandoen fordi programmet Magento er ikke installert."
"This command is unavailable right now.","Denne kommandoen er for øyeblikket ikke tilgjengelig."
"The ""test/test/test"" path does not exists","Banen ""test/test"" eksisterer ikke"
"error message","feilmelding"
"some_label","etikettnavn"
"some_comment","kommentar"
"some prefix","prefiks"
"element label","Element navn"
"element hint","Element Hint"
"element comment","Element kommentar"
"element tooltip","Verktøytips for elementer"
"test","test"
"test2","test2"
"Add after","Legg til etter"
"Delete","Slett"
"Current Configuration Scope:","Nåværende konfigurasjonsområde:"
"Stores","Butikker"
"Group Label","Gruppenavn"
"Some Label","Etikette navn"
"Tab Label","Fanenavn"
"Allow everything","Tillat alt"
"Magento Admin","Magento Admin"
"Dashboard","Kontrollpanel"
"Manage Stores","Administrer butikker"
"Field 2","Felt 2"
"Field 3","Felt 3"
"Field 3.1","Felt 3.1"
"Field 3.1.1","Felt 3.1.1"
"Field 4","Felt 4"
"Advanced Section","Avanserte innstillinger"
"Advanced Admin Section","Avanserte Administratorinnstillinger"
"Design Section","Design"
"General Section","Generelt-delen"
"System Section","System"
"Currency Setup Section","Valutainnstillinger"
"Developer Section","Utvikler seksjon"
"Web Section","Nettsted"
"Store Email Addresses Section","Butikk E-postadresser"
"Email to a Friend","Send e-post til en venn"
"Action","Handling"
"'The specified image adapter cannot be used because of: ' .","'Den angitte bilde prosessoren kan ikke brukes på grunn av: %1: ' ."
"The file ""' . . '"" does not exist","Filen ""'..""' eksisterer ikke"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","Klassen for ""%1"" typen ble ikke deklarert. Angi klassen og prøv på nytt."
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The time zone is incorrect. Verify the time zone and try again.","The time zone is incorrect. Verify the time zone and try again."
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
