"Default Config","Konfigurasi default"
"Save Config","Simpan konfigurasi"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITUS WEB]"
"[STORE VIEW]","[TAMPILAN TOKO]"
"Use system value","Gunakan nilai sistem"
"Use Default","Gunakan Default"
"Use Website","Gunakan Website"
"Add","Tambahkan"
"Delete File","Menghapus File"
"Search String","String Pencarian"
"Design Theme","Tema Desain"
"Add \Exception","Tambahkan \Pengecualian"
"-- No Theme --","-- tidak ada tema --"
"Enable","Aktifkan"
"Disable","Dinonaktifkan"
"Configuration","Konfigurasi"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1 harus diimplementasikan %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Nilai yang Anda tetapkan sudah terkunci. Untuk mengubah nilainya, gunakan --%1 pilihan."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Sistem"
"You saved the configuration.","Anda menyimpan konfigurasi."
"Something went wrong while saving this configuration:","Ada yang tidak beres saat menyimpan konfigurasi ini:"
"Page not found.","Halaman tidak ditemukan."
"Please specify the admin custom URL.","Harap tentukan URL khusus admin."
"Invalid %1. %2","% 1 tidak valid % 2"
"Value must be a URL or one of placeholders: %1","Nilai harus berupa URL atau salah satu placeholder:% 1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Tentukan URL atau path yang dimulai dengan placeholder:% 1, dan diakhiri dengan ""/""."
"%1 An empty value is allowed as well.","% 1 Nilai kosong juga diperbolehkan."
"Specify a fully qualified URL.","Tentukan URL yang memenuhi syarat."
"Selected allowed currency ""%1"" is not available in installed currencies.","Mata uang yang diizinkan yang dipilih ""% 1"" tidak tersedia dalam mata uang yang terpasang."
"Default display currency ""%1"" is not available in allowed currencies.","Mata uang tampilan default ""% 1"" tidak tersedia dalam mata uang yang diizinkan."
"Sorry, we haven't installed the base currency you selected.","Maaf, kami tidak memasang mata uang dasar yang anda pilih."
"We can't save the Cron expression.","We can't save the Cron expression."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","Maaf, mata uang tampilan default yang Anda pilih tidak tersedia dalam mata uang yang diizinkan."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Nama pengirim ""% 1"" tidak valid. Harap hanya menggunakan karakter dan spasi yang terlihat."
"Maximum sender name length is 255. Please correct your settings.","Panjang nama pengirim maksimum adalah 255. Harap perbaiki pengaturan Anda."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","Direktori dasar untuk mengunggah berkas tidak ditentukan."
"The specified image adapter cannot be used because of: %1","Adaptor gambar yang ditentukan tidak dapat digunakan karena: %1"
"Default scope","Ruang lingkup default"
"Base currency","Mata uang dasar"
"Display default currency","Tampilkan default mata uang"
"website(%1) scope","cakupan situs web (% 1)"
"store(%1) scope","simpan (% 1) lingkup"
"Currency ""%1"" is used as %2 in %3.","Mata uang ""% 1"" digunakan sebagai% 2 di% 3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"The ""%1"" path does not exist","The ""%1"" path does not exist"
"Always (during development)","Selalu (selama pengembangan)"
"Only Once (version upgrade)","Hanya Sekali (versi meningkatkan)"
"Never (production)","Tidak pernah (produksi)"
"Bcc","Bcc"
"Separate Email","Email terpisah"
"%1 (Default)","% 1 (Default)"
"title","gelar"
"No","Tidak"
"Optional","Pilihan"
"Required","Wajib"
"Website","Situs web"
"Store","Toko"
"Store View","Tampilan toko"
"HTTP (unsecure)","HTTP (tidak aman)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Ya (302 Ditemukan)"
"Yes (301 Moved Permanently)","Ya (301 Dipindahkan Secara Permanen)"
"Yes","Ya"
"Specified","Ditentukan"
"Visible section not found.","Visible section not found."
