"Default Config","Standard Konfiguration"
"Save Config","Gem indstillinger"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSIDE]"
"[STORE VIEW]","[BUTIK VISNING]"
"Use system value","Anvend system værdier"
"Use Default","Brug standard"
"Use Website","Brug hjemmeside"
"Add","Tilføj"
"Delete File","Slet fil"
"Search String","Søgestreng"
"Design Theme","Design Tema"
"Add \Exception","Tilføj undtagelse"
"-- No Theme --","-- Intet tema --"
"Enable","Aktivér"
"Disable","Slå fra"
"Configuration","Konfiguration"
"Class for type ""%1"" was not declared","Klasse for type ""%1"" var ikke deklareret"
"%1 should implement %2","%1 skal implementere %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Værdien du sætter er allerede blevet låst. For at ændre værdien brug --%1 optionen."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Konfigurationsstien: ""%1"" eksisterer ikke"
"System","System"
"You saved the configuration.","Du har gemt indstillingerne."
"Something went wrong while saving this configuration:","Noget gik galt mens vi gemte denne indstilling:"
"Page not found.","Siden blev ikke fundet."
"Please specify the admin custom URL.","Venligst udfyld admin login Url'en."
"Invalid %1. %2","Ugyldig %1. %2"
"Value must be a URL or one of placeholders: %1","Værdien skal være en URL eller en af: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Udfyld en URL eller sti der begynder med: %1, og slutter med ""/""."
"%1 An empty value is allowed as well.","%1 En tom værdi er ikke tilladt heller."
"Specify a fully qualified URL.","Udfyldt med en fuldt ud kvalificeret URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Valgte tilladte valuta ""%1"" er ikke tilgængelig blandt installerede valuta."
"Default display currency ""%1"" is not available in allowed currencies.","Standard visning valutaen ""%1"" er ikke tilgængelig blandt tilladte valuta."
"Sorry, we haven't installed the base currency you selected.","Beklager men vi har ikke den valgte base valuta installeret."
"We can't save the Cron expression.","Vi kan ikke gemme Cron udtrykket."
"Sorry, we haven't installed the default display currency you selected.","Beklager men vi har ikke den valgte visnings valuta installeret."
"Sorry, the default display currency you selected is not available in allowed currencies.","Beklager, den valgte standard valuta, er ikke tilgængelig blandt de tilladte valutaer."
"Please correct the email address: ""%1"".","Ret venligst e-mail-adressen: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Afsender navnet ""%1"" er ikke gyldigt. Venligst kun benyt synlige tegn og mellemrum."
"Maximum sender name length is 255. Please correct your settings.","Maksimal afsender navns længde er 255. Venligst ret dine indstillinger."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Filen du uploadet overstiger serveres tilladte grænse på %1 kilobytes."
