"Default Config","Alapértelmezett beállítás"
"Save Config","Beállítások mentése"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[BOLT NÉZET]"
"Use system value","Rendszerérték használata"
"Use Default","Alapértelmezés használata"
"Use Website","Honlap használata"
"Add","Hozzáadás"
"Delete File","Fájl törlése"
"Search String","Keresőkifejezés"
"Design Theme","Téma tervezése"
"Add \Exception","\Kivétel hozzáadása"
"-- No Theme --","-- Nincs téma --"
"Enable","Bekapcsolás"
"Disable","Letiltás"
"Configuration","Konfiguráció"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 should implement %2","%1-nek implementálnia kell %2-t"
"The value you set has already been locked. To change the value, use the --%1 option.","A beállított érték már zárolva van. Az érték módosításához használja a--%1 paramétert."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
"System","Rendszer"
"You saved the configuration.","Beállítások elmentve."
"Something went wrong while saving this configuration:","Hiba történt a beállítás mentése közben:"
"Page not found.","Az oldal nem található."
"Please specify the admin custom URL.","Kérjük, adja meg az egyedi admin URL-címet!"
"Invalid %1. %2","Érvénytelen %1. %2"
"Value must be a URL or one of placeholders: %1","Az érték URL vagy az alapértelmezett kifejezések egyike kell legyen: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Adjon meg egy URL-t vagy elérési utat, melynek kezdete %1, a vége pedig ""/""!"
"%1 An empty value is allowed as well.","%1 üres érték is megengedett."
"Specify a fully qualified URL.","Teljes URL-t adjon meg!"
"Selected allowed currency ""%1"" is not available in installed currencies.","Az engedélyezni kívánt pénznem (%1) nem szerepel a telepített pénznemek között."
"Default display currency ""%1"" is not available in allowed currencies.","Az alapértelmezetten megjeleníteni kívánt pénznem (%1) nincs az engedélyezett pénznemek között."
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected."
"We can't save the Cron expression.","We can't save the Cron expression."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","Sajnáljuk, de a kiválasztott alapértelmezett pénznem nincs az engedélyezett pénznemek között."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
