"Default Config","Podrazumevana konfiguracija"
"Save Config","Sačuvaj Konfiguraciju"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[PRIKAZ PRODAVNICE]"
"Use system value","Koristi sistemsku vrednost"
"Use Default","Koristi podrazumevano"
"Use Website","Koristi Websajt"
"Add","Dodaj"
"Delete File","Izbriši datoteku"
"Search String","Niz za pretragu"
"Design Theme","Dizajniraj Temu"
"Add \Exception","Dodaj \Izuzetak"
"-- No Theme --","-- Nema Teme --"
"Enable","Omogući"
"Disable","Onemogući"
"Configuration","Konfiguracija"
"Class for type ""%1"" was not declared","Klasa za tip ""%1"" nije deklarisana"
"%1 should implement %2","%1 treba da implementira %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Vrednost koju ste podesili je već zaključana. Da biste promenili vrednost, podesite --%1 opciju."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Konfiguracija za putanju: ""%1"" ne postoji"
"System","Sistem"
"You saved the configuration.","Sačuvali ste konfiguraciju."
"Something went wrong while saving this configuration:","Došlo je do greške prilikom čuvanja ove konfiguracije:"
"Page not found.","Stranica nije pronađena."
"Please specify the admin custom URL.","Molimo definišite administratorski prilagođen URL."
"Invalid %1. %2","Nevažeći %1. %2"
"Value must be a URL or one of placeholders: %1","Vrednost mora biti URL ili jedan od placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Navedeni URL ili putanja počinju sa placeholder(s): %1, a završavaju sa ""/""."
"%1 An empty value is allowed as well.","%1 Prazna vrednost je takođe dozvoljena."
"Specify a fully qualified URL.","Navedite potpuno kvalifikovani URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Odaberite dozvoljenu valutu ""%1"" nije dostupan u instaliranim valutama."
"Default display currency ""%1"" is not available in allowed currencies.","Podrazumevana prikazana valuta ""%1"" nije dostupna u dozvoljenim valutama."
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected."
"We can't save the Cron expression.","Nemožemo dačuvati Cron izraz."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","Izvinjavamo se, podrazumevana prikazana valuta koju ste odabrali nije dostupna u dozvoljenim valutama."
"Please correct the email address: ""%1"".","Molimo ispravite email adresu: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Ime pošiljaoca ""%1"" nije validno. Molimo koristite samo vidljive karaktere i mesta."
"Maximum sender name length is 255. Please correct your settings.","Maksimalna dužina naziva pošiljaoca je 255. Molimo korigujte svoja podešavanja."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","Osnovni direktorijum za ažuriranje fajlova nije definisan."
