"Edit Event","Rediger hendelsen"
"Add Event","Legg til hendelse"
"Events","Hendelser"
"Add Catalog Event","Legg til kataloghendelse"
"Save and Continue Edit","Lagre og fortsett redigering"
"Back to Category","Tilbake til kategori"
"Edit Catalog Event","Edit Catalog Event"
"Catalog Event Information","Catalog Event Information"
"Category","Kategori"
"Start Date","Startdato"
"End Date","Sluttdato"
"Image","Bilde"
"Sort Order","Sorteringsrekkefølge"
"Upcoming","Kommende"
"Open","Åpen"
"Closed","Lukket"
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Kategoriside"
"Product Page","Produktside"
"Status","Status"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[NETTSTED]"
"[STORE VIEW]","[LAGERVISNING]"
"Coming Soon","Kommer snart"
"Sale Ends In","Salget avsluttes i"
"Catalog","Katalog"
"You deleted the event.","Du slettet hendelsen."
"New Event","Ny hendelse"
"Default Values","Standardverdier"
"Something went wrong while saving this event.","Noe gikk galt under lagringen av denne hendelsen."
"We did not upload your image.","Vi lastet ikke opp bildet ditt."
"You saved the event.","Du lagret hendelsen."
"%1 is required.","%1 kreves."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"Event for selected category","Event for selected category"
"Lister Block","Lister Block"
"This product is no longer on sale.","Dette produktet er ikke lenger til salgs."
"Some of these products can no longer be sold.","Noen av disse produktene kan ikke lenger bli solgt."
"Select Category","Velg en kategori"
"Use Default Value","Bruk standardverdi"
"Days","Dager"
"Hrs","Timer"
"Mins","Minutter"
"Sec","Sek"
"Preview Sale","Forhåndsvis salg"
"Go To Sale","Gå til salg"
"View Sale","Vis salg"
"Previous","Forrige"
"Next","Neste"
"Catalog Events","Kataloghendelser"
"Enable Catalog Events Functionality","Aktivere katalogen hendelser funksjonalitet"
"Enable Catalog Event Widget on Storefront","Aktiver katalogen hendelse Widget på butikk"
"Number of Events to be Displayed in Event Slider Widget","Antall hendelser som vises i hendelse Slider widgeten"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Du kan overstyre denne standardverdien i CMS ved å bruke grensen = ""x"" variabel. La stå tomt for ingen begrensning."
"Events to Scroll per Click in Event Slider Widget","Eventer å skrolle per klikk i eventslideren widgeten"
"You can override this default value in CMS using the limit=""x"" variable.","Du kan overstyre denne standardverdien i CMS ved å bruke grensen=""x"" variabelen."
"Catalog Events Carousel","Catalog Eventer Karusell"
"List all open Catalog Events as a Paginated Carousel","Liste alle åpne kataloghendelser som en paginert karusell"
"Frame Size","Rammestørrelse"
"Number of Items to display at once","Antall elementer som skal vises på en gang"
"Scroll","Scroll"
"Number of Items to scroll per click","Antall varer å skrolle per klikk"
"Block Custom Width","Blokker egendefinert bredde"
"If empty, we'll automatically set the width value in pixels.","Hvis tom, vil vi automatisk sette verdien for bredde i piksler."
"Catalog Events Carousel Default Template","Katalog Eventer Karusell Standard Mal"
"ID","ID"
"Category ID","Kategori-ID"
"Start","Start"
"End","Slutt"
"Countdown Ticker","Nedtelling Ticker"
"Action","Handling"
"Edit","Redigere"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
