"Edit Event","تعديل الحدث"
"Add Event","إضافة حدث"
"Events","الأحداث"
"Add Catalog Event","إضافة حدث للكتالوج"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Back to Category","العودة إلى القسم"
"Edit Catalog Event","تعديل الحدث التسويقي"
"Catalog Event Information","معلومات الحدث التسويقي"
"Category","القسم"
"Start Date","تاريخ البدء"
"End Date","تاريخ الانتهاء"
"Image","صورة"
"Sort Order","الترتيب"
"Upcoming","قريبا"
"Open","فتح"
"Closed","مغلق"
"Display Countdown Ticker On","عرض العد التنازلي على الشريط"
"Category Page","صفحة القسم"
"Product Page","صفحة المنتجات"
"Status","الحاله"
"[GLOBAL]","[عام]"
"[WEBSITE]","[الموقع]"
"[STORE VIEW]","[عرض المتجر]"
"Coming Soon","قريباً"
"Sale Ends In","ينتهي البيع في"
"Catalog","دليل المنتجات"
"You deleted the event.","قمت بحذف الحدث."
"New Event","حدث جديد"
"Default Values","القيم الافتراضية"
"Something went wrong while saving this event.","حدث خطأ أثناء حفظ هذا الحدث."
"We did not upload your image.","لم نقم بتحميل الصورة الخاصة بك."
"You saved the event.","قمت بحفظ هذا الحدث."
"%1 is required.","%1 مطلوب."
"Please make sure the end date follows the start date.","الرجاء التأكد من أن تاريخ النهاية يلي تاريخ البداية."
"Event for selected category","حدث للفئة المحددة"
"Lister Block","كتلة المنتجات"
"This product is no longer on sale.","لم يعد هذا المنتج للبيع."
"Some of these products can no longer be sold.","بيع بعض هذه المنتجات لم يعد ممكنا."
"Select Category","اختر قسم"
"Use Default Value","استخدام قيمة افتراضية"
"Days","ايام"
"Hrs","ساعات"
"Mins","دقائق"
"Sec","ثواني"
"Preview Sale","معاينة البيع"
"Go To Sale","الذهاب للبيع"
"View Sale","عرض البيع"
"Previous","السابق"
"Next","التالي"
"Catalog Events","كتالوج الأحداث"
"Enable Catalog Events Functionality","تمكين وظائف كتالوج الأحداث"
"Enable Catalog Event Widget on Storefront","تمكين المربعات الجانبية لكتالوج الأحداث على واجهة المتجر"
"Number of Events to be Displayed in Event Slider Widget","عدد الأحداث التي سيتم عرضها في مربعات الحدث الجانبية"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","يمكنك تجاوز هذه القيمة الافتراضية في نظام الإدارة الوظيفية باستخدام الحد الأقصى = ""x"" متغير. تترك فارغة عندما لاتوجد قيود."
"Events to Scroll per Click in Event Slider Widget","عدد الأحداث التي تمر عند كل نقرة في شريط المربعات الجانبية"
"You can override this default value in CMS using the limit=""x"" variable.","يمكنك تجاوز هذه القيمة الافتراضية في نظام الإدارة الوظيفية باستخدام الحد = ""x"" المتغير."
"Catalog Events Carousel","كتالوج الأحداث الدائري"
"List all open Catalog Events as a Paginated Carousel","اسرد كافة أحداث الكتالوج المفتوحة كصفحات دائرية"
"Frame Size","حجم الإطار"
"Number of Items to display at once","عدد العناصر التي يتم عرضها في وقت واحد"
"Scroll","تمرير"
"Number of Items to scroll per click","عدد العناصر التي تمر عند كل نقرة"
"Block Custom Width","عرض الكتلة المخصص"
"If empty, we'll automatically set the width value in pixels.","سوف يتم تعيين قيمة العرض بالبكسل تلقائياً إذا تركت فارغة."
"Catalog Events Carousel Default Template","القالب الافتراضي لكتالوج الأحداث الدائري"
"ID","التعريف"
"Category ID","رقم القسم"
"Start","ابدء"
"End","نهاية"
"Countdown Ticker","شريط العد التنازلي"
"Action","إجراء"
"Edit","تعديل"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
