"Edit Event","Upravit událost"
"Add Event","Přidat událost"
"Events","Události"
"Add Catalog Event","Přidat katalog akcí"
"Save and Continue Edit","Použít"
"Back to Category","Zpět na kategorii"
"Edit Catalog Event","Upravit katalog akcí"
"Catalog Event Information","Informace o katalogu akcí"
"Category","Kategorie"
"Start Date","Začátek"
"End Date","Datum ukončení"
"Image","Obrázek"
"Sort Order","Řadit podle"
"Upcoming","Nadcházející"
"Open","Otevřít"
"Closed","Zavřeno"
"Display Countdown Ticker On","Zobrazení odpočítávání na"
"Category Page","Stránka kategorie"
"Product Page","Stránka produktu"
"Status","Stav"
"[GLOBAL]","[GLOBÁLNÍ]"
"[WEBSITE]","[WEB]"
"[STORE VIEW]","[ZOBRAZENÍ]"
"Coming Soon","Již brzy"
"Sale Ends In","Prodej končí za"
"Catalog","Katalog"
"You deleted the event.","Událost byla odstraněna."
"New Event","Nová událost"
"Default Values","Výchozí hodnoty"
"Something went wrong while saving this event.","Došlo k chybě při ukládání této akce."
"We did not upload your image.","Nepodařilo se nahrát váš obrázek"
"You saved the event.","Akce byla uložena."
"%1 is required.","%1 is required."
"Please make sure the end date follows the start date.","Ujistěte se prosím, že datum ukončení následuje po datumu zahájení."
"Event for selected category","Akce pro vybranou kategorii"
"Lister Block","Lister Block"
"This product is no longer on sale.","Tento produkt již není v prodeji."
"Some of these products can no longer be sold.","Některé z těchto výrobků již nemohou být prodávány."
"Select Category","Vybrat kategorii"
"Use Default Value","Použít výchozí hodnotu"
"Days","Dny"
"Hrs","Hod"
"Mins","Minut"
"Sec","Sekund"
"Preview Sale","Náhled prodeje"
"Go To Sale","Přejít na prodej"
"View Sale","Zobrazit prodej"
"Previous","Předchozí"
"Next","Následující"
"Catalog Events","Katalog akcí"
"Enable Catalog Events Functionality","Povolit funkce katalogu akcí"
"Enable Catalog Event Widget on Storefront","Povolit katalog akcí Widget ve Storefrontu"
"Number of Events to be Displayed in Event Slider Widget","Počet akcí, které mají být zobrazeny v Event Slider Widgetu."
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Můžete přepsat výchozí hodnotu v CMS pomocí limit = ""x"" proměnné. Ponechejte prázdné pro bez omezení."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Catalog Events Carousel"
"List all open Catalog Events as a Paginated Carousel","List all open Catalog Events as a Paginated Carousel"
"Frame Size","Frame Size"
"Number of Items to display at once","Number of Items to display at once"
"Scroll","Posun"
"Number of Items to scroll per click","Number of Items to scroll per click"
"Block Custom Width","Vlastní šířka bloku"
"If empty, we'll automatically set the width value in pixels.","If empty, we'll automatically set the width value in pixels."
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"ID","ID"
"Category ID","ID kategorie"
"Start","Od data"
"End","Do data"
"Countdown Ticker","Countdown Ticker"
"Action","Akce"
"Edit","Upravit"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
