"Edit Event","Ereignis bearbeiten"
"Add Event","Ereignis hinzufügen"
"Events","Ereignisse"
"Add Catalog Event","Katalog-Ereignis hinzufügen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Back to Category","Zurück zur Kategorie"
"Edit Catalog Event","Katalog-Ereignis bearbeiten"
"Catalog Event Information","Katalog-Event-Informationen"
"Category","Kategorie"
"Start Date","Start"
"End Date","Enddatum"
"Image","Bild"
"Sort Order","Sortierreihenfolge"
"Upcoming","Bevorstehend"
"Open","Geöffnet"
"Closed","Geschlossen"
"Display Countdown Ticker On","Schalte die Anzeige des Countdown-Tickers an"
"Category Page","Kategorie-Seite"
"Product Page","Produktseite"
"Status","Status"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"Coming Soon","In Kürze verfügbar"
"Sale Ends In","Angebot endet in"
"Catalog","Katalog"
"You deleted the event.","Sie haben das Ereignis gelöscht."
"New Event","Neues Ereignis"
"Default Values","Standardwerte"
"Something went wrong while saving this event.","Beim speichern der Veranstaltung trat ein Fehler auf."
"We did not upload your image.","Das Bild konnte nicht hochgeladen werden."
"You saved the event.","Veranstaltung wurde gespeichert."
"%1 is required.","%1 ist erforderlich."
"Please make sure the end date follows the start date.","Das Enddatum muss nach dem Startdatum liegen."
"Event for selected category","Veranstaltung für ausgewählte Kategorie"
"Lister Block","Lister-Block"
"This product is no longer on sale.","Dieses Produkt wird nicht mehr verkauft."
"Some of these products can no longer be sold.","Einige dieser Produkte können nicht mehr verkauft werden."
"Select Category","Kategorie auswählen"
"Use Default Value","Standardwert verwenden"
"Days","Tage"
"Hrs","Stunden"
"Mins","Minuten"
"Sec","Sekunden"
"Preview Sale","Verkaufsvorschau"
"Go To Sale","Zum Verkauf"
"View Sale","Zeige Angebote"
"Previous","Zurück"
"Next","Weiter"
"Catalog Events","Katalog Ereignisse"
"Enable Catalog Events Functionality","Katalog-Events-Funktionalität aktivieren"
"Enable Catalog Event Widget on Storefront","Katalog-Event-Widget im Frontend aktivieren"
"Number of Events to be Displayed in Event Slider Widget","Anzahl der Ereignisse, die im Ereignis-Slider Widget angezeigt werden sollen"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Sie können diesen Standardwert im CMS überschreiben, indem Sie die limit=""x"" Variable nutzen. Lassen Sie diese leer, um keine Einschränkung zu definieren."
"Events to Scroll per Click in Event Slider Widget","Event zum Blättern per Klick im Event-Slider-Widget"
"You can override this default value in CMS using the limit=""x"" variable.","Sie können diesen Standardwert im CMS überschreiben, indem Sie die limit=""x"" Variable nutzen."
"Catalog Events Carousel","Katalog-Ereignis-Karusell
"
"List all open Catalog Events as a Paginated Carousel","Liste aller offenen Katalog-Events als ein paginiertes Karussell"
"Frame Size","Frame-Größe"
"Number of Items to display at once","Anzahl der gleichzeitig angezeigten Elemente"
"Scroll","Umblättern (scroll)"
"Number of Items to scroll per click","Anzahl der Elemente die pro Klick umblättern (scrollen)"
"Block Custom Width","Block mit benutzerdefinierter Breite"
"If empty, we'll automatically set the width value in pixels.","Wenn leer, wird automatisch einen Wert für die Breite in Pixeln festgelegt."
"Catalog Events Carousel Default Template","Standard-Template für Katalog-Events-Karussell"
"ID","Id"
"Category ID","Kategorie ID "
"Start","Starten"
"End","Ende"
"Countdown Ticker","Countdown-Ticker"
"Action","Aktion"
"Edit","Bearbeiten"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
