"Edit Event","Rediģēt Notikumu"
"Add Event","Pievienot Notikumu"
"Events","Notikumi"
"Add Catalog Event","Pievienot kataloga notikumu"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Back to Category","Atpakaļ uz kategoriju"
"Edit Catalog Event","Labot kataloga notikumu"
"Catalog Event Information","Kataloga notikuma informācija"
"Category","Kategorija"
"Start Date","Sākuma datums"
"End Date","Beigu datums"
"Image","Attēls"
"Sort Order","Kārtošanas secība"
"Upcoming","Gaidāmie"
"Open","Atvērt"
"Closed","Slēgts"
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Category Page"
"Product Page","Product Page"
"Status","Statuss"
"[GLOBAL]","[GLOBĀLI]"
"[WEBSITE]","[Majaslapa]"
"[STORE VIEW]","[STORE VIEW]"
"Coming Soon","Drīzumā"
"Sale Ends In","Pārdošana beidzās"
"Catalog","Katalogs"
"You deleted the event.","Notikums ir nodzēsts."
"New Event","Jauns notikums"
"Default Values","Noklusētās vērtības"
"Something went wrong while saving this event.","Something went wrong while saving this event."
"We did not upload your image.","Jūsu attēls netika augšupielādēts."
"You saved the event.","Notikums ir saglabāts."
"%1 is required.","%1 ir obligāts."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"Event for selected category","Event for selected category"
"Lister Block","Lister Block"
"This product is no longer on sale.","This product is no longer on sale."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Select Category","Select Category"
"Use Default Value","Izmantot noklusēto vērtību"
"Days","Dienas"
"Hrs","Stundas"
"Mins","Minūtes"
"Sec","Sek"
"Preview Sale","Preview Sale"
"Go To Sale","Go To Sale"
"View Sale","View Sale"
"Previous","Iepriekšējais"
"Next","Nākošais"
"Catalog Events","Catalog Events"
"Enable Catalog Events Functionality","Enable Catalog Events Functionality"
"Enable Catalog Event Widget on Storefront","Enable Catalog Event Widget on Storefront"
"Number of Events to be Displayed in Event Slider Widget","Number of Events to be Displayed in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Catalog Events Carousel"
"List all open Catalog Events as a Paginated Carousel","List all open Catalog Events as a Paginated Carousel"
"Frame Size","Frame Size"
"Number of Items to display at once","Number of Items to display at once"
"Scroll","Scroll"
"Number of Items to scroll per click","Number of Items to scroll per click"
"Block Custom Width","Block Custom Width"
"If empty, we'll automatically set the width value in pixels.","If empty, we'll automatically set the width value in pixels."
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"ID","ID"
"Category ID","Kategorijas ID"
"Start","Sākt"
"End","Beigas"
"Countdown Ticker","Laika atskaites taimeris"
"Action","Darbība"
"Edit","Labot"
"Edit Event...","Rediģēt Notikumu..."
"Add Event...","Pievienot Notikumu..."
