"Edit Event","Etkinliği düzenle"
"Add Event","Etkinlik Ekle"
"Events","Etkinlikler"
"Add Catalog Event","Katalog Etkinliği Ekle"
"Save and Continue Edit","Kaydet ve Devam Et"
"Back to Category","Kategoriye git"
"Edit Catalog Event","Katalog Etkinliğini Düzenle"
"Catalog Event Information","Katalog Etkinlik Bilgisi"
"Category","Kategori"
"Start Date","Başlangıç Tarihi"
"End Date","Bitiş Tarihi"
"Image","Resim"
"Sort Order","Sıralama"
"Upcoming","Yaklaşan"
"Open","Açık"
"Closed","Kapatıldı"
"Display Countdown Ticker On","Gerisayım Sayacı Üzerinde Görüntüle"
"Category Page","Kategori sayfası"
"Product Page","Ürün Sayfası"
"Status","Durum"
"[GLOBAL]","[GENEL]"
"[WEBSITE]","[WEB SİTESİ]"
"[STORE VIEW]","[MAĞAZA GÖRÜNÜMÜ]"
"Coming Soon","Çok Yakında"
"Sale Ends In","Satış Sona Erer"
"Catalog","Katalog"
"You deleted the event.","Etkinliği sildiniz."
"New Event","Yeni Durum"
"Default Values","Varsayılan Değerler"
"Something went wrong while saving this event.","Bu etkinlik kaydedilirken bir hata oluştu."
"We did not upload your image.","Resminizi yüklemedik."
"You saved the event.","Etkinliği kaydettiniz."
"%1 is required.","%1 gerekiyor."
"Please make sure the end date follows the start date.","Lütfen bitiş tarihinin başlangıç tarihini takip ettiğinden emin olun."
"Event for selected category","Seçilen kategori için etkinlik"
"Lister Block","Blok Ürünleri"
"This product is no longer on sale.","Bu ürün artık satılık değil."
"Some of these products can no longer be sold.","Bu ürünlerden artık bazıları satılmamaktadır."
"Select Category","Kategori Seçiniz"
"Use Default Value","Varsayılan Değeri Kullan"
"Days","Günler"
"Hrs","Sa"
"Mins","Dk"
"Sec","Sn"
"Preview Sale","Satış Önizlemesi"
"Go To Sale","İndirimdekiler'e git"
"View Sale","Satış İzleme"
"Previous","Önceki"
"Next","Sonraki"
"Catalog Events","Katalog İşlemleri"
"Enable Catalog Events Functionality","Katalog İşlemlerini İşlevsel Olarak Etkinleştirme"
"Enable Catalog Event Widget on Storefront","Vitrindeki Katalog İşlem Penceresi Etkinleştirme"
"Number of Events to be Displayed in Event Slider Widget","Yan Etkinlik Penceresinde Görüntülenen Etkinlik Sayısı"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Limit =""x"" değişkenini kullanarak CMS'deki bu varsayılan değeri geçersiz kılabilirsiniz. Hiçbir sınırlama olmaksızın boş bırakın."
"Events to Scroll per Click in Event Slider Widget","İşlem Kaydırıcı Penceresine tıklayarak kaydırma İşlemleri"
"You can override this default value in CMS using the limit=""x"" variable.","Limit =""x"" değişkenini kullanarak CMS'deki bu varsayılan değeri geçersiz kılabilirsiniz."
"Catalog Events Carousel","Katalog İşlemleri Döngüsü"
"List all open Catalog Events as a Paginated Carousel","Bütün Açık Katalog İşlemlerini Sayfalandırılmış Döngü Olarak Listele"
"Frame Size","Çerçeve Boyutu"
"Number of Items to display at once","Bir defada görüntülenecek Ürün Sayısı"
"Scroll","Kaydır"
"Number of Items to scroll per click","Tıklama başına kaydırılacak ürün sayısı"
"Block Custom Width","Özel Genişliği Engelle"
"If empty, we'll automatically set the width value in pixels.","Boş bırakılmışsa, genişlik değerini piksel cinsinden otomatik olarak ayarlarız."
"Catalog Events Carousel Default Template","Şablonda ki Varsayılan döngüsel Katalog İşlemleri"
"ID","No"
"Category ID","Kategori No"
"Start","Başla"
"End","Bitir"
"Countdown Ticker","Geri sayım Sayacı"
"Action","Eylem"
"Edit","Düzenle"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
