"Edit Event","Редактирование события"
"Add Event","Добавить событие"
"Events","События"
"Add Catalog Event","Add Catalog Event"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Back to Category","Назад в категорию"
"Edit Catalog Event","Изменить событие каталога"
"Catalog Event Information","Информация о событии каталога"
"Category","Категория"
"Start Date","Дата начала"
"End Date","Дата окончания"
"Image","Изображение"
"Sort Order","Порядок Сортировки"
"Upcoming","Предстоящие"
"Open","Открыть"
"Closed","Закрыть"
"Display Countdown Ticker On","Экран обратного отсчета дисплея включен"
"Category Page","Страница категории"
"Product Page","Страница товара"
"Status","Статус"
"[GLOBAL]","[ГЛОБАЛЬНО]"
"[WEBSITE]","[САЙТ]"
"[STORE VIEW]","[Представление магазина]"
"Coming Soon","Скоро"
"Sale Ends In","Продажа заканчивается"
"Catalog","Каталог"
"You deleted the event.","Вы удалили событие."
"New Event","Новое событие"
"Default Values","Значения по умолчанию"
"Something went wrong while saving this event.","При сохранении этого события что-то пошло не так."
"We did not upload your image.","Мы не загрузили ваше изображение."
"You saved the event.","Вы сохранили событие."
"%1 is required.","требуется %1."
"Please make sure the end date follows the start date.","Убедитесь, что дата окончания соответствует дате начала."
"Event for selected category","Событие для выбранной категории"
"Lister Block","Lister Block"
"This product is no longer on sale.","Этот товар больше не продается."
"Some of these products can no longer be sold.","Некоторые из этих товаров больше не могут быть проданы."
"Select Category","Выбрать категорию"
"Use Default Value","Использовать значение по умолчанию"
"Days","Дней"
"Hrs","Час."
"Mins","Мин."
"Sec","Сек."
"Preview Sale","Предварительный просмотр продаж"
"Go To Sale","Перейти на продажу"
"View Sale","Просмотр продажи"
"Previous","Предыдущее"
"Next","Следующее"
"Catalog Events","Каталог событий"
"Enable Catalog Events Functionality","Включить события функциональности каталога"
"Enable Catalog Event Widget on Storefront","Enable Catalog Event Widget on Storefront"
"Number of Events to be Displayed in Event Slider Widget","Количество событий, которые будут отображаться в виде слайдера событий"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation."
"Events to Scroll per Click in Event Slider Widget","События для прокрутки за клик в слайдере события"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Catalog Events Carousel"
"List all open Catalog Events as a Paginated Carousel","Список всех открытых событий каталога в виде разбитой карусели"
"Frame Size","Размер рамки"
"Number of Items to display at once","Количество элементов для отображения за один раз"
"Scroll","Прокрутка"
"Number of Items to scroll per click","Количество элементов для прокрутки за клик"
"Block Custom Width","Block Custom Width"
"If empty, we'll automatically set the width value in pixels.","Если пусто, мы автоматически установим значение ширины в пикселях."
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"ID","Идентификатор"
"Category ID","Категория ID"
"Start","Старт"
"End","Конец"
"Countdown Ticker","Countdown Ticker"
"Action","Действие"
"Edit","Редактировать"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
