"Edit Event","Modifica evento"
"Add Event","Aggiungi evento"
"Events","Eventi"
"Add Catalog Event","Aggiungi Evento Catalogo"
"Save and Continue Edit","Salva e continua modifica"
"Back to Category","Torna alla categoria"
"Edit Catalog Event","Modifica Evento Catalogo"
"Catalog Event Information","Informazioni sugli eventi di catalogo"
"Category","Categoria"
"Start Date","Data Inizio"
"End Date","Data Fine"
"Image","Immagine"
"Sort Order","Ordinamento"
"Upcoming","In arrivo"
"Open","Aperto"
"Closed","Chiuso"
"Display Countdown Ticker On","Visualizza Countdown ticker su"
"Category Page","Pagina di categoria"
"Product Page","Pagina prodotto"
"Status","Stato"
"[GLOBAL]","[GLOBALE]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"Coming Soon","Presto in arrivo"
"Sale Ends In","La promozione scade tra"
"Catalog","Catalogo"
"You deleted the event.","Hai cancellato l'evento."
"New Event","Nuovo evento"
"Default Values","Valori predefiniti"
"Something went wrong while saving this event.","Qualcosa è andato storto durante il salvataggio di questo evento."
"We did not upload your image.","La tua immagine non è stata caricata."
"You saved the event.","Hai salvato l'evento."
"%1 is required.","%1 è richiesto."
"Please make sure the end date follows the start date.","Per favore assicurati che la data di fine segua la data di inizio."
"Event for selected category","Evento per la categoria selezionata"
"Lister Block","Blocco Lister"
"This product is no longer on sale.","Questo prodotto non è più in promozione."
"Some of these products can no longer be sold.","Alcuni di questi prodotti non possono più essere venduti."
"Select Category","Seleziona una categoria"
"Use Default Value","Usa il valore predefinito"
"Days","Giorni"
"Hrs","Ore"
"Mins","Min"
"Sec","Sec"
"Preview Sale","Anteprima Promozione"
"Go To Sale","Vai alla vendita"
"View Sale","Vedi Promozione"
"Previous","Precedente"
"Next","Successivo"
"Catalog Events","Eventi catalogo"
"Enable Catalog Events Functionality","Abilitare la funzionalità degli eventi catalogo"
"Enable Catalog Event Widget on Storefront","Abilita widget degli eventi catalogo nel frontend"
"Number of Events to be Displayed in Event Slider Widget","Numero di eventi da visualizzare nel Widget slider evento"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","È possibile ignorare questo valore predefinito nel CMS utilizzando la variabile limit=""x"". Lasciare vuoto per non impostare limitazioni."
"Events to Scroll per Click in Event Slider Widget","Eventi a scorrimento per ogni click nel widget slider evento"
"You can override this default value in CMS using the limit=""x"" variable.","È possibile ignorare questo valore predefinito nel CMS utilizzando la variabile limit=""x""."
"Catalog Events Carousel","Carousel Eventi catalogo"
"List all open Catalog Events as a Paginated Carousel","Elencare tutti gli eventi catalogo aperti come un Carousel paginato"
"Frame Size","Dimensione del frame"
"Number of Items to display at once","Numero di elementi da visualizzare alla volta"
"Scroll","Scorrimento"
"Number of Items to scroll per click","Numero di elementi da scorrere per ogni click"
"Block Custom Width","Larghezza del blocco personalizzato"
"If empty, we'll automatically set the width value in pixels.","Se vuota, viene stabilito automaticamente il valore della larghezza in pixel."
"Catalog Events Carousel Default Template","Template predefinito Carousel eventi catalogo"
"ID","ID"
"Category ID","ID categoria"
"Start","Inizia"
"End","Fine"
"Countdown Ticker","Countdown Ticker"
"Action","Azione"
"Edit","Modifica"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
