"Edit Event","Editar Evento"
"Add Event","Adicionar Evento"
"Events","Eventos"
"Add Catalog Event","Adicionar Evento de Catálogo"
"Save and Continue Edit","Gravar e Continuar Edição"
"Back to Category","Voltar à Categoria"
"Edit Catalog Event","Editar Evento de Catálogo"
"Catalog Event Information","Informação do Evento de Catálogo"
"Category","Categoria"
"Start Date","Data de Início"
"End Date","Data de Fim"
"Image","Imagem"
"Sort Order","Ordenação"
"Upcoming","Próximos"
"Open","Abrir"
"Closed","Fechado"
"Display Countdown Ticker On","Mostrar Contagem Decrescente Em"
"Category Page","Página da Categoria"
"Product Page","Página do Produto"
"Status","Estado"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA DE LOJA]"
"Coming Soon","Brevemente"
"Sale Ends In","Promoção termina em"
"Catalog","Catálogo"
"You deleted the event.","Você eliminou o evento."
"New Event","Novo Evento"
"Default Values","Valores por omissão"
"Something went wrong while saving this event.","Algo correu mal ao gravar este evento."
"We did not upload your image.","Não conseguimos carregar a sua imagem."
"You saved the event.","Gravou o evento."
"%1 is required.","%1 é obrigatório."
"Please make sure the end date follows the start date.","Por favor certifique-se que a data de fim é posterior à data de início."
"Event for selected category","Evento para a categoria selecionada"
"Lister Block","Bloco Lister"
"This product is no longer on sale.","Este produto já não está em promoção."
"Some of these products can no longer be sold.","Alguns destes produtos já não podem ser vendidos."
"Select Category","Selecionar Categoria"
"Use Default Value","Usar o Valor Pré-definido"
"Days","Dias"
"Hrs","Hrs"
"Mins","Mins"
"Sec","Seg"
"Preview Sale","Pré-visualizar Venda"
"Go To Sale","Ir Para Venda"
"View Sale","Ver Venda"
"Previous","Anterior"
"Next","Seguinte"
"Catalog Events","Eventos de Catálogo"
"Enable Catalog Events Functionality","Ativar Funcionalidade de Eventos de Catálogo"
"Enable Catalog Event Widget on Storefront","Ativar o Widget de Evento de Catálogo na Loja"
"Number of Events to be Displayed in Event Slider Widget","Número de Eventos a Mostrar no Widget com o Slider de Eventos"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Pode substituir este valor pré-definido no CMS usando a variável limit=""x"". Deixe em branco para remover a limitação."
"Events to Scroll per Click in Event Slider Widget","Eventos Para Percorrer por Clique no Widget com o Slider de Eventos"
"You can override this default value in CMS using the limit=""x"" variable.","Pode substituir este valor pré-definido no CMS usando a variável limit=""x""."
"Catalog Events Carousel","Carrossel de Eventos de Catálogo"
"List all open Catalog Events as a Paginated Carousel","Listar todos os Eventos de Catálogo como um carrossel paginado"
"Frame Size","Tamanho da área"
"Number of Items to display at once","Número de registos a serem exibidos de uma só vez"
"Scroll","Percorrer"
"Number of Items to scroll per click","Número de registos percorridos por clique"
"Block Custom Width","Largura Personalizada do Bloco"
"If empty, we'll automatically set the width value in pixels.","Se estiver vazio, será definido automaticamente o valor de largura em pixels."
"Catalog Events Carousel Default Template","Template Pré-definido de Carrossel para Eventos de Catálogo"
"ID","Id."
"Category ID","ID da Categoria"
"Start","Ínicio"
"End","Fim"
"Countdown Ticker","Contagem Decrescente"
"Action","Ação"
"Edit","Editar"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
