"Edit Event","Измени догађај"
"Add Event","Додај догађај"
"Events","Догађаји"
"Add Catalog Event","Додај Каталог Догађаја"
"Save and Continue Edit","Сачувај и настави уређивање"
"Back to Category","Назад на категорију"
"Edit Catalog Event","Измени Каталог Догађаја"
"Catalog Event Information","Информације о Каталогу Догађаја"
"Category","Категорија"
"Start Date","Почетни датум"
"End Date","Крајњи датум"
"Image","Слика"
"Sort Order","Редослед поруџбина"
"Upcoming","Предстојећи"
"Open","Отвори"
"Closed","Затворено"
"Display Countdown Ticker On","Дисплаy Цоунтдоwн Тицкер Укључено"
"Category Page","Страница категорије"
"Product Page","Страница са производима"
"Status","Статус"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[ПРИКАЗ ПРОДАВНИЦЕ]"
"Coming Soon","Долази ускоро"
"Sale Ends In","Распродаја се завршава у"
"Catalog","Каталог"
"You deleted the event.","Обрисали сте догађај."
"New Event","Нови Догађај"
"Default Values","Подразумеване вредности"
"Something went wrong while saving this event.","Дошло је до грешке приликом снимања догађаја."
"We did not upload your image.","Нисмо учитали Вашу слику."
"You saved the event.","Сачували сте догађај."
"%1 is required.","%1 је обавезно."
"Please make sure the end date follows the start date.","Молимо уверите се да је датум завршетка у складу са датумом почетка."
"Event for selected category","Догађај за одабране категорије"
"Lister Block","Блок листе"
"This product is no longer on sale.","Производ више није на попусту."
"Some of these products can no longer be sold.","Неки од ових производа се не могу више продавати."
"Select Category","Одабери Категорију"
"Use Default Value","Користите подразумеване вредности"
"Days","Дани"
"Hrs","Сати"
"Mins","Минути"
"Sec","Сек"
"Preview Sale","Претпродаја"
"Go To Sale","Иди на распродају"
"View Sale","Погледај распродају"
"Previous","Претходни"
"Next","Следеће"
"Catalog Events","Каталог догађаја"
"Enable Catalog Events Functionality","Омогући функционалност каталога догађаја"
"Enable Catalog Event Widget on Storefront","Омогући виџет за каталог догађаја у продавници"
"Number of Events to be Displayed in Event Slider Widget","Број догађаја који ће бити приказани у слајдеру догађаја"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Можеш преписати подразумевану вредност у ЦМС-у користећи лимит=""x"" варијабилних. Остави празно за неограничено уписивање."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","Можете преписати ову вредност у ЦМС-у користећи вредност лимит=""x"" вариабле."
"Catalog Events Carousel","Карусел каталога догађаја"
"List all open Catalog Events as a Paginated Carousel","Листај све отворене каталоге догађаја као карусел пагинације"
"Frame Size","Величина оквира"
"Number of Items to display at once","Број производа приказаних ођедном"
"Scroll","Померај"
"Number of Items to scroll per click","Број производа који ће се померити по клику"
"Block Custom Width","Прилагођена ширина блока"
"If empty, we'll automatically set the width value in pixels.","Ако је празно, аутоматски ћемо поставити ширину у пикселима."
"Catalog Events Carousel Default Template","Подразумевана шема карусела каталога догађаја"
"ID","ИД"
"Category ID","ИД категорије"
"Start","Почетак"
"End","Крај"
"Countdown Ticker","Штоперица"
"Action","Акција"
"Edit","Измени"
"Edit Event...","Измени Евент..."
"Add Event...","Додај Евент..."
