"Edit Event","Izmeni događaj"
"Add Event","Dodaj događaj"
"Events","Događaji"
"Add Catalog Event","Dodaj Katalog Događaja"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Back to Category","Nazad na kategoriju"
"Edit Catalog Event","Izmeni Katalog Događaja"
"Catalog Event Information","Informacije o Katalogu Događaja"
"Category","Kategorija"
"Start Date","Početni datum"
"End Date","Krajnji datum"
"Image","Slika"
"Sort Order","Redosled porudžbina"
"Upcoming","Predstojeći"
"Open","Otvori"
"Closed","Zatvoreno"
"Display Countdown Ticker On","Display Countdown Ticker Uključeno"
"Category Page","Stranica kategorije"
"Product Page","Stranica sa proizvodima"
"Status","Status"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[PRIKAZ PRODAVNICE]"
"Coming Soon","Dolazi uskoro"
"Sale Ends In","Rasprodaja se završava u"
"Catalog","Katalog"
"You deleted the event.","Obrisali ste događaj."
"New Event","Novi Događaj"
"Default Values","Podrazumevane vrednosti"
"Something went wrong while saving this event.","Došlo je do greške prilikom snimanja događaja."
"We did not upload your image.","Nismo učitali Vašu sliku."
"You saved the event.","Sačuvali ste događaj."
"%1 is required.","%1 je obavezno."
"Please make sure the end date follows the start date.","Molimo uverite se da je datum završetka u skladu sa datumom početka."
"Event for selected category","Događaj za odabrane kategorije"
"Lister Block","Blok liste"
"This product is no longer on sale.","Proizvod više nije na popustu."
"Some of these products can no longer be sold.","Neki od ovih proizvoda se ne mogu više prodavati."
"Select Category","Odaberi Kategoriju"
"Use Default Value","Koristite podrazumevane vrednosti"
"Days","Dani"
"Hrs","Sati"
"Mins","Minuti"
"Sec","Sek"
"Preview Sale","Pretprodaja"
"Go To Sale","Idi na rasprodaju"
"View Sale","Pogledaj rasprodaju"
"Previous","Prethodni"
"Next","Sledeće"
"Catalog Events","Katalog događaja"
"Enable Catalog Events Functionality","Omogući funkcionalnost kataloga događaja"
"Enable Catalog Event Widget on Storefront","Omogući vidžet za katalog događaja u prodavnici"
"Number of Events to be Displayed in Event Slider Widget","Broj događaja koji će biti prikazani u slajderu događaja"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Možeš prepisati podrazumevanu vrednost u CMS-u koristeći limit=""x"" varijabilnih. Ostavi prazno za neograničeno upisivanje."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","Možete prepisati ovu vrednost u CMS-u koristeći vrednost limit=""x"" variable."
"Catalog Events Carousel","Karusel kataloga događaja"
"List all open Catalog Events as a Paginated Carousel","Listaj sve otvorene kataloge događaja kao karusel paginacije"
"Frame Size","Veličina okvira"
"Number of Items to display at once","Broj proizvoda prikazanih odjednom"
"Scroll","Pomeraj"
"Number of Items to scroll per click","Broj proizvoda koji će se pomeriti po kliku"
"Block Custom Width","Prilagođena širina bloka"
"If empty, we'll automatically set the width value in pixels.","Ako je prazno, automatski ćemo postaviti širinu u pikselima."
"Catalog Events Carousel Default Template","Podrazumevana šema karusela kataloga događaja"
"ID","ID"
"Category ID","ID kategorije"
"Start","Početak"
"End","Kraj"
"Countdown Ticker","Štoperica"
"Action","Akcija"
"Edit","Izmeni"
"Edit Event...","Izmeni Event..."
"Add Event...","Dodaj Event..."
