"Edit Event","Edit Acara"
"Add Event","Tambah Acara"
"Events","Acara"
"Add Catalog Event","Tambah Katalog Acara"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Back to Category","Kembali Kategori"
"Edit Catalog Event","Edit Katalog Acara"
"Catalog Event Information","Informasi Katalog Acara"
"Category","Kategori"
"Start Date","Mulai tanggal"
"End Date","Tanggal Akhir"
"Image","Gambar"
"Sort Order","Urutan"
"Upcoming","Mendatang"
"Open","Buka"
"Closed","Tutup"
"Display Countdown Ticker On","Menampilkan Countdown Ticker On"
"Category Page","Kategori Halaman"
"Product Page","Halaman Produk"
"Status","Keadaan"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[SITUS WEB]"
"[STORE VIEW]","[TAMPILAN TOKO]"
"Coming Soon","Akan Hadir"
"Sale Ends In","Penjualan Berakhir Di"
"Catalog","Katalog"
"You deleted the event.","Anda Menghapus Acara."
"New Event","Acara Baru"
"Default Values","Nilai Kegagalan"
"Something went wrong while saving this event.","Ada yang tidak beres saat menyimpan acara ini."
"We did not upload your image.","Kami tidak Bisa Upload Gambar Anda."
"You saved the event.","Anda Menyimpan Acara."
"%1 is required.","%1Dibutuhkan."
"Please make sure the end date follows the start date.","Pastikan tanggal akhir mengikuti tanggal mulai."
"Event for selected category","Acara Untuk Pemilihan Kategori"
"Lister Block","Blok List"
"This product is no longer on sale.","Produk Ini Tidak Dijual Lagi."
"Some of these products can no longer be sold.","Beberapa Produk Tidak Bisa Dijual Lagi."
"Select Category","Pilih Kategori"
"Use Default Value","Gunakan Nilai Default"
"Days","Hari"
"Hrs","Hrs"
"Mins","Mins"
"Sec","Sec"
"Preview Sale","Lihat Kembali Penjualan"
"Go To Sale","Pergi Ke Penjualan"
"View Sale","Lihat Penjualan"
"Previous","Sebelumnya"
"Next","Lanjut"
"Catalog Events","Katalog Acara"
"Enable Catalog Events Functionality","Aktifkan Fungsi Daftar Acara"
"Enable Catalog Event Widget on Storefront","Aktifkan Daftar widget Acara di etalase"
"Number of Events to be Displayed in Event Slider Widget","Jumlah Acara yang Akan Ditampilkan di Widget Slider Acara"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Anda dapat mengganti nilai default ini di CMS dengan menggunakan variabel limit = ""x"". Biarkan kosong tanpa batasan."
"Events to Scroll per Click in Event Slider Widget","Acara untuk Scroll per Klik di Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","Anda dapat mengganti nilai default ini di CMS dengan menggunakan variabel limit = ""x""."
"Catalog Events Carousel","Katalog Acara Carousel"
"List all open Catalog Events as a Paginated Carousel","Cantumkan semua acara Katalog yang Terbuka sebagai Carousel yang Diminin"
"Frame Size","Ukuran bingkai"
"Number of Items to display at once","Jumlah Item yang akan ditampilkan sekaligus"
"Scroll","Gulir"
"Number of Items to scroll per click","Jumlah Item untuk gulir per klik"
"Block Custom Width","Blok Lebar Kustom"
"If empty, we'll automatically set the width value in pixels.","Jika kosong, kita akan secara otomatis mengatur nilai lebar dalam piksel."
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"ID","Nomor"
"Category ID","Category ID"
"Start","Mulai"
"End","Akhir"
"Countdown Ticker","Countdown Ticker"
"Action","Tindakan"
"Edit","Ubah"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
