"Edit Event","Rediger Begivenhed"
"Add Event","Tilføj begivenhed"
"Events","Begivenheder"
"Add Catalog Event","Tilføj katalog begivenhed"
"Save and Continue Edit","Gem og fortsæt redigering"
"Back to Category","Tilbage til kategori"
"Edit Catalog Event","Rediger katalog begivenhed"
"Catalog Event Information","Katalog begivenhedsinformation"
"Category","Kategori"
"Start Date","Start dato"
"End Date","Slutdato"
"Image","Billede"
"Sort Order","Sorteringsrækkefølge"
"Upcoming","Kommende"
"Open","Åbn"
"Closed","Lukket"
"Display Countdown Ticker On","Display nedtællingsticker på"
"Category Page","Kategoriside"
"Product Page","Produktsiden"
"Status","Status"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSIDE]"
"[STORE VIEW]","[BUTIK VISNING]"
"Coming Soon","Kommer snart"
"Sale Ends In","Udsalg slutter om"
"Catalog","Katalog"
"You deleted the event.","Du har slettet begivenhed."
"New Event","Ny begivenhed"
"Default Values","Standardværdi"
"Something went wrong while saving this event.","Noget gik galt under lagring af denne begivenhed."
"We did not upload your image.","Vi har ikke uploadet dit billede."
"You saved the event.","Du gemte begivenheden."
"%1 is required.","%1 er obligatorisk."
"Please make sure the end date follows the start date.","Kontroller at slutdatoen er efter startdatoen."
"Event for selected category","Begivenhed for valgte kategori"
"Lister Block","Lister blok"
"This product is no longer on sale.","Dette produkt er ikke længere på udsalg."
"Some of these products can no longer be sold.","Nogle af disse produkter kan ikke længere sælges."
"Select Category","Vælg kategori"
"Use Default Value","Brug standardværdi"
"Days","Dage"
"Hrs","Timer"
"Mins","Minutter"
"Sec","Sekunder"
"Preview Sale","Forhåndsvisning af udsalg"
"Go To Sale","Gå til udsalg"
"View Sale","Se udsalg"
"Previous","Tilbage"
"Next","Videre"
"Catalog Events","Katalog begivenheder"
"Enable Catalog Events Functionality","Aktivere katalog begivenheds funktionalitet"
"Enable Catalog Event Widget on Storefront","Aktivere katalog begivenhed Widget på storefront"
"Number of Events to be Displayed in Event Slider Widget","Antallet af hændelser der skal vises i Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Du kan tilsidesætte denne standardværdi i CMS med limit = ""x"" variabelen. Lad være tom for ingen begrænsning."
"Events to Scroll per Click in Event Slider Widget","Begivenheder der skal scrolles pr. klik i Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","Du kan tilsidesætte denne standardværdi i CMS med limit = ""x"" variabelen."
"Catalog Events Carousel","Katalog begivenheder karrusel"
"List all open Catalog Events as a Paginated Carousel","Liste over alle åbne kataloget begivenheder som en pagineret karrusel"
"Frame Size","Rammestørrelse"
"Number of Items to display at once","Antallet af elementer der skal vises på én gang"
"Scroll","Scroll"
"Number of Items to scroll per click","Antallet af elementer der skal scrolles pr. klik"
"Block Custom Width","Brugerdefineret bredde på blok"
"If empty, we'll automatically set the width value in pixels.","Hvis blank, vil vi automatisk sætte bredden i pixels."
"Catalog Events Carousel Default Template","Katalog begivenheder karrusel standardskabelon"
"ID","ID"
"Category ID","Kategori-ID"
"Start","Start"
"End","Afslut"
"Countdown Ticker","Nedtællingsticker"
"Action","Handling"
"Edit","Redigér"
"Edit Event...","Rediger Begivenhed..."
"Add Event...","Tilføj begivenhed..."
