"Edit Event","이벤트 수정"
"Add Event","이벤트 추가"
"Events","이벤트"
"Add Catalog Event","카탈로그 이벤트 추가"
"Save and Continue Edit","저장하고 계속 편집하기"
"Back to Category","카테고리로 돌아가기"
"Edit Catalog Event","카탈로그 이벤트 수정"
"Catalog Event Information","카탈로그 이벤트 정보"
"Category","카테고리"
"Start Date","시작 날짜"
"End Date","종료 날짜"
"Image","이미지"
"Sort Order","정렬 순서"
"Upcoming","Upcoming"
"Open","Open"
"Closed","Closed"
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","카테고리 페이지"
"Product Page","상품 페이지"
"Status","상태"
"[GLOBAL]","[글로벌]"
"[WEBSITE]","[웹사이트]"
"[STORE VIEW]","[스토어뷰]"
"Coming Soon","Coming Soon"
"Sale Ends In","Sale Ends In"
"Catalog","카탈로그"
"You deleted the event.","이벤트를 삭제했습니다."
"New Event","신규 이벤트"
"Default Values","기본값"
"Something went wrong while saving this event.","이벤트 저장중 문제가 발생했습니다."
"We did not upload your image.","이미지를 업로드할 수 없습니다."
"You saved the event.","이벤트를 저장했습니다."
"%1 is required.","%1은 필수항목 입니다."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"Event for selected category","선택한 카테고리 이벤트"
"Lister Block","Lister Block"
"This product is no longer on sale.","해당 상품은 더이상 판매되지 않습니다."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Select Category","카테고리 선택"
"Use Default Value","기본값 사용"
"Days","일"
"Hrs","시"
"Mins","분"
"Sec","초"
"Preview Sale","Preview Sale"
"Go To Sale","Go To Sale"
"View Sale","View Sale"
"Previous","이전"
"Next","다음"
"Catalog Events","카탈로그 이벤트"
"Enable Catalog Events Functionality","Enable Catalog Events Functionality"
"Enable Catalog Event Widget on Storefront","Enable Catalog Event Widget on Storefront"
"Number of Events to be Displayed in Event Slider Widget","Number of Events to be Displayed in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Catalog Events Carousel"
"List all open Catalog Events as a Paginated Carousel","List all open Catalog Events as a Paginated Carousel"
"Frame Size","Frame Size"
"Number of Items to display at once","Number of Items to display at once"
"Scroll","Scroll"
"Number of Items to scroll per click","Number of Items to scroll per click"
"Block Custom Width","Block Custom Width"
"If empty, we'll automatically set the width value in pixels.","If empty, we'll automatically set the width value in pixels."
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"ID","ID"
"Category ID","Category ID"
"Start","시작"
"End","종료"
"Countdown Ticker","Countdown Ticker"
"Action","동작"
"Edit","수정"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
