"Edit Event","Edycja zdarzenia"
"Add Event","Dodaj wydarzenie"
"Events","Zdarzenia"
"Add Catalog Event","Dodaj zdarzenie katalogu"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Back to Category","Powrót do kategorii"
"Edit Catalog Event","Edytuj zdarzenie katalogu"
"Catalog Event Information","Informacje o zdarzeniu katalogu"
"Category","Kategoria"
"Start Date","Data rozpoczęcia"
"End Date","Data zakończenia"
"Image","Obrazek"
"Sort Order","Kolejność sortowania"
"Upcoming","Nadchodzące"
"Open","Otwarty"
"Closed","Zamknięty"
"Display Countdown Ticker On","Wyświetlanie odliczania"
"Category Page","Strona kategorii"
"Product Page","Strona produktu"
"Status","Stan"
"[GLOBAL]","[GLOBALNY]"
"[WEBSITE]","[WITRYNA]"
"[STORE VIEW]","[WIDOK SKLEPU]"
"Coming Soon","Wkrótce"
"Sale Ends In","Sprzedaż kończy się"
"Catalog","Katalog"
"You deleted the event.","Usunięto zdarzenie."
"New Event","Nowe zdarzenie"
"Default Values","Wartości domyślne"
"Something went wrong while saving this event.","Coś się zepsuło podczas zapisywania tego wydarzenia."
"We did not upload your image.","Nie przesłaliśmy twojego obrazu."
"You saved the event.","Zapisano zdarzenie."
"%1 is required.","%1 jest wymagane."
"Please make sure the end date follows the start date.","Upewnij się, że data końcowa następuje po dacie rozpoczęcia."
"Event for selected category","Zdarzenie dla wybranej kategorii"
"Lister Block","Blok listujący"
"This product is no longer on sale.","Ten produkt nie jest już w sprzedaży."
"Some of these products can no longer be sold.","Niektóre z tych produktów nie mogą być sprzedawane."
"Select Category","Wybierz kategorię"
"Use Default Value","Użyj wartości domyślnej"
"Days","Dni"
"Hrs","godz"
"Mins","min"
"Sec","sek"
"Preview Sale","Podgląd sprzedaży"
"Go To Sale","Przejdź do sprzedaży"
"View Sale","Zobacz sprzedaż"
"Previous","Poprzednie"
"Next","Następne"
"Catalog Events","Zdarzenia katalogu"
"Enable Catalog Events Functionality","Włącz funkcjonalność zdarzeń katalogu"
"Enable Catalog Event Widget on Storefront","Włącz widget wydarzeń katalogu na stronie"
"Number of Events to be Displayed in Event Slider Widget","Liczba zdarzeń, które mają być wyświetlane w przypadku widżetu karuzeli"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Można zastąpić tę domyślną wartość w CMS zmienając zmienną limit=""x"". Pozostaw puste żeby usunąć ograniczenia."
"Events to Scroll per Click in Event Slider Widget","Ilość zdarzeń przesuwanych po kliknięciu w widżet karuzeli zdarzeń"
"You can override this default value in CMS using the limit=""x"" variable.","Można zastąpić tę domyślną wartość w CMS zmienając zmienną limit=""x""."
"Catalog Events Carousel","Karuzela zdarzeń katalogu"
"List all open Catalog Events as a Paginated Carousel","Lista wszystkich otwartych zdarzeń katalogów jako karuzela"
"Frame Size","Rozmiar ramki"
"Number of Items to display at once","Liczba elementów wyświetlanych na raz"
"Scroll","Przewijanie"
"Number of Items to scroll per click","Liczba elementów przewijanym po kliknięciu"
"Block Custom Width","Niestandardowa szerokość bloku"
"If empty, we'll automatically set the width value in pixels.","Jeśli puste, automatycznie ustawimy szerokość w pikselach."
"Catalog Events Carousel Default Template","Domyślny szablon karuzeli zdarzeń katalogu"
"ID","Identyfikator"
"Category ID","ID kategorii"
"Start","Początek"
"End","Koniec"
"Countdown Ticker","Odliczanie"
"Action","Operacja"
"Edit","Edytuj"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
