"Edit Event","イベントの編集"
"Add Event","イベントを追加"
"Events","イベント"
"Add Catalog Event","カタログイベントを追加"
"Save and Continue Edit","保存して編集を続ける"
"Back to Category","カテゴリに戻る"
"Edit Catalog Event","カタログイベントを編集"
"Catalog Event Information","カタログイベント情報"
"Category","カテゴリ"
"Start Date","開始日"
"End Date","終了日"
"Image","画像"
"Sort Order","表示順"
"Upcoming","もうすぐ開始"
"Open","オープン"
"Closed","クローズド"
"Display Countdown Ticker On","カウントダウンティッカー表示位置"
"Category Page","カテゴリページ"
"Product Page","商品ページ"
"Status","ステータス"
"[GLOBAL]","[グローバル]"
"[WEBSITE]","[ウェブサイト]"
"[STORE VIEW]","[ストアビュー]"
"Coming Soon","近日公開"
"Sale Ends In","セール終了日"
"Catalog","カタログ"
"You deleted the event.","イベントを削除しました。"
"New Event","新しいイベント"
"Default Values","標準の値"
"Something went wrong while saving this event.","このイベントを保存中に何か問題が発生しました。"
"We did not upload your image.","あなたのイメージはアップロードされませんでした。"
"You saved the event.","イベントを保存しました。"
"%1 is required.","%1 is は必須です。"
"Please make sure the end date follows the start date.","終了日が開始日の後にあることを確認してください。"
"Event for selected category","選択したカテゴリのイベント"
"Lister Block","リストブロック"
"This product is no longer on sale.","この製品は販売されていません。"
"Some of these products can no longer be sold.","これらの製品の一部はもはや販売できません。"
"Select Category","カテゴリを選択"
"Use Default Value","標準の値を使用"
"Days","日"
"Hrs","時間"
"Mins","分"
"Sec","秒"
"Preview Sale","セールをプレビュー"
"Go To Sale","セール会場に移動する"
"View Sale","セールを表示"
"Previous","前"
"Next","次"
"Catalog Events","カタログイベント"
"Enable Catalog Events Functionality","カタログイベント機能を有効にする"
"Enable Catalog Event Widget on Storefront","ストアでカタログイベントウィジェットを有効にする"
"Number of Events to be Displayed in Event Slider Widget","イベントスライダーウィジェットに表示するイベントの数"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","limit = ""x"" 変数を使用して、このデフォルト値をCMSで上書きすることができます。 制限なしの場合は空のままにします。"
"Events to Scroll per Click in Event Slider Widget","イベントスライダーウィジェットでクリックごとのスクロールイベントを使用する"
"You can override this default value in CMS using the limit=""x"" variable.","limit = ""x"" 変数を使用して、このデフォルト値をCMSで上書きすることができます。"
"Catalog Events Carousel","カタログイベントカルーセル"
"List all open Catalog Events as a Paginated Carousel","すべての展開中のカタログイベントリストをページ表示したカルーセルでリストする"
"Frame Size","フレームサイズ"
"Number of Items to display at once","一度に表示するアイテムの数"
"Scroll","スクロール"
"Number of Items to scroll per click","クリックごとにスクロールさせるアイテムの数"
"Block Custom Width","カスタムブロック横幅"
"If empty, we'll automatically set the width value in pixels.","空であれば、自動的に幅の値をピクセル単位で設定します。"
"Catalog Events Carousel Default Template","カタログイベントカルーセル標準テンプレート"
"ID","ID"
"Category ID","カテゴリID"
"Start","開始"
"End","終了"
"Countdown Ticker","カウントダウンティッカー"
"Action","アクション"
"Edit","編集"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
