"Edit Event","ערוך אירוע"
"Add Event","הוסף אירוע"
"Events","אירועים"
"Add Catalog Event","להוסיף אירוע קטלוגי"
"Save and Continue Edit","שמור והמשך בעריכה"
"Back to Category","חזרה לקטגוריה"
"Edit Catalog Event","לערוך אירוע קטלוג"
"Catalog Event Information","מידע על אירוע קטלוג"
"Category","קטגוריה"
"Start Date","תאריך התחלה"
"End Date","תאריך סיום"
"Image","תמונה"
"Sort Order","סדר מיון"
"Upcoming","בקרוב"
"Open","פתוח"
"Closed","נסגרה"
"Display Countdown Ticker On","אפשר ספירה לאחור של תצוגת טיקר"
"Category Page","דף קטגוריה"
"Product Page","דף מוצר"
"Status","סטטוס"
"[GLOBAL]","[גלובלי]"
"[WEBSITE]","[אתר]"
"[STORE VIEW]","[תצוגת חנות]"
"Coming Soon","בקרוב"
"Sale Ends In","המכירה מסתיימת ב-"
"Catalog","קטלוג"
"You deleted the event.","מחקת את האירוע."
"New Event","אירוע חדש"
"Default Values","ערכי בררת מחדל"
"Something went wrong while saving this event.","משהו השתבש תוך שמירה על האירוע הזה."
"We did not upload your image.","אנחנו לא יכולים להעלות את התמונה שלך."
"You saved the event.","שמרת את האירוע."
"%1 is required.","%1 נדרש."
"Please make sure the end date follows the start date.","אנא ודא שתאריך הסיום אחרי תאריך ההתחלה."
"Event for selected category","אירוע עבור קטגוריה נבחרת"
"Lister Block","בלוק ליסטר"
"This product is no longer on sale.","מוצר זה הוא כבר לא למכירה."
"Some of these products can no longer be sold.","חלק מהמוצרים האלה כבר לא ניתן למכור."
"Select Category","בחר קטגוריה"
"Use Default Value","השתמש בערך ברירת המחדל"
"Days","ימים"
"Hrs","שעות"
"Mins","דקות"
"Sec","שניה"
"Preview Sale","התצוגה מקדימה למכירה"
"Go To Sale","ללכת למכירה"
"View Sale","תצוגה למכירה"
"Previous","הקודם"
"Next","הבא"
"Catalog Events","קטלוג אירועים"
"Enable Catalog Events Functionality","הפעל פונקציונליות לאירועים קטלוגים"
"Enable Catalog Event Widget on Storefront","לאפשר יישומון אירוע קטלוג על תצוגת החנות"
"Number of Events to be Displayed in Event Slider Widget","מספר האירועים שיוצגו ביישומן הסליידר של של האירוע"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","באפשרותך לעקוף את ערך ברירת המחדל ב- CMS באמצעות הגדרת משתנה limit=""x"". השאר ריק ללא מגבלה."
"Events to Scroll per Click in Event Slider Widget","אירועים בגלילה לפי קליק בוויגט של סליידר האירוע"
"You can override this default value in CMS using the limit=""x"" variable.","באפשרותך לעקוף את ערך ברירת המחדל ב- CMS באמצעות limit=""x"" משתנה."
"Catalog Events Carousel","קרוסלת אירועי קטלוג"
"List all open Catalog Events as a Paginated Carousel","רשימת עכל האירועים הקלוגים כקרוסלה עימודית"
"Frame Size","גודל פריים"
"Number of Items to display at once","מספר הפריטים שיוצגו בעת ובעונה אחת"
"Scroll","גלילה"
"Number of Items to scroll per click","מספר הפריטים כדי לגלול בקליק"
"Block Custom Width","רוחב מותאם אישית לבלוק"
"If empty, we'll automatically set the width value in pixels.","אם ריק, ייקבע באופן אוטומטי הערך של רוחב בפיקסלים."
"Catalog Events Carousel Default Template","תבנית ברירת המחדל של קרוסלת האירועים הקטלוגיים"
"ID","מזהה"
"Category ID","המזהה של הקטגוריה"
"Start","התחלה"
"End","סיום"
"Countdown Ticker","הספירה לאחור של טיקר"
"Action","פעולה"
"Edit","ערוך"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
