"Edit Event","Επεξεργασία γεγονότος"
"Add Event","Προσθήκη γεγονότος"
"Events","Γεγονότα"
"Add Catalog Event","Προσθήκη Συμβάντος Καταλόγου"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Back to Category","Πίσω στην Κατηγορία"
"Edit Catalog Event","Επεξεργασία Συμβάντος Καταλόγου"
"Catalog Event Information","Πληροφορίες Συμβάντος Καταλόγου"
"Category","Κατηγορία"
"Start Date","Ημερομηνία έναρξης"
"End Date","Ημερομηνία λήξης"
"Image","Εικόνα"
"Sort Order","Σειρά Ταξινόμησης"
"Upcoming","Επικείμενες"
"Open","Άνοιγμα"
"Closed","Κλειστό"
"Display Countdown Ticker On","Ενεργοποίηση Προβολής Ticker Αντίστροφης μέτρησης"
"Category Page","Σελίδα Κατηγορίας"
"Product Page","Σελίδα προϊόντος"
"Status","Κατάσταση"
"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"[WEBSITE]","[ΙΣΤΟΤΟΠΟΣ]"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
"Coming Soon","Έρχεται σύντομα"
"Sale Ends In","Η έκπτωση τελειώνει σε"
"Catalog","Κατάλογος"
"You deleted the event.","Διαγράψατε το συμβάν."
"New Event","Νέο γεγονός"
"Default Values","Προεπιλεγμένες τιμές"
"Something went wrong while saving this event.","Κάτι πήγε στραβά κατά την αποθήκευση του αυτού του γεγονότος."
"We did not upload your image.","Δεν αποστείλαμε την εικόνα σας."
"You saved the event.","Αποθηκεύσατε το συμβάν."
"%1 is required.","το %1απαιτείται."
"Please make sure the end date follows the start date.","Βεβαιωθείτε ότι η ημερομηνία λήξης ακολουθεί την ημερομηνία έναρξης."
"Event for selected category","Εκδήλωση για την επιλεγμένη κατηγορία"
"Lister Block","Lister μπλοκ"
"This product is no longer on sale.","Αυτό το προϊόν δεν είναι πλέον σε προσφορά."
"Some of these products can no longer be sold.","Μερικά από αυτά τα προϊόντα δεν μπορούν πλέον να πωληθούν."
"Select Category","Επιλογή κατηγορίας"
"Use Default Value","Χρησιμοποιήστε την Προεπιλεγμένη Τιμή"
"Days","Ημέρες"
"Hrs","Ώρες"
"Mins","Λεπτά"
"Sec","Δευτερόλεπτα"
"Preview Sale","Προεπισκόπηση Έκπτωσης"
"Go To Sale","Μεταβείτε στην Έκπτωση"
"View Sale","Προβολή Έκπτωσης"
"Previous","Προηγούμενο"
"Next","Επόμενο"
"Catalog Events","Συμβάντα Καταλόγου"
"Enable Catalog Events Functionality","Ενεργοποιήσετε τη λειτουργία κατάλογου εκδηλώσεων"
"Enable Catalog Event Widget on Storefront","Ενεργοποίηση γραφικού στοιχείου κατάλογου εκδηλώσεων σε Βιτρίνα Καταστήματος"
"Number of Events to be Displayed in Event Slider Widget","Αριθμός Συμβάντων που θα εμφανίζονται στο Slider γραφικoύ στοιχείου εκδήλωσης"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Μπορείτε να παρακάμψετε αυτήν την προεπιλεγμένη τιμή σε CMS χρησιμοποιώντας την μεταβλητή limit=""x"". Αφήστε κενό για χωρίς περιορισμό."
"Events to Scroll per Click in Event Slider Widget","Εκδηλώσεις για κύλιση ανά κλικ στο Slider γραφικό στοιχείο Εκδηλώσεων"
"You can override this default value in CMS using the limit=""x"" variable.","Μπορείτε να παρακάμψετε αυτήν την προεπιλεγμένη τιμή σε CMS χρησιμοποιώντας τη μεταβλητή limit=""x""."
"Catalog Events Carousel","Carousel Κατάλογου Εκδηλώσεων"
"List all open Catalog Events as a Paginated Carousel","Προβολή όλων των ανοιχτών εκδηλώσεων κατάλογου ως ένα Carousel με σελιδοποίηση"
"Frame Size","Μέγεθος πλαισίου"
"Number of Items to display at once","Αριθμός στοιχείων που εμφανίζονται ταυτόχρονα"
"Scroll","Κύλιση"
"Number of Items to scroll per click","Αριθμό των στοιχείων σε μπάρα κύλισης ανά κλικ"
"Block Custom Width","Προσαρμοσμένο πλάτος μπλοκ"
"If empty, we'll automatically set the width value in pixels.","Εάν είναι άδειο, αυτόματα θα ορίσουμε την τιμή του πλάτους σε pixel."
"Catalog Events Carousel Default Template","Προεπιλεγμένο Πρότυπο Κατάλογου Εκδηλώσεων Carousel"
"ID","ID"
"Category ID","ID Κατηγορίας"
"Start","Έναρξη"
"End","Τέλος"
"Countdown Ticker","Ticker Αντίστροφης μέτρησης"
"Action","Ενέργεια"
"Edit","Επεξεργασία"
"Edit Event...","Edit Event..."
"Add Event...","Add Event..."
