"Edit Event","Muokkaa tapahtumaa"
"Add Event","Lisää Tapahtuma"
"Events","Tapahtumat"
"Add Catalog Event","Lisää luettelotapahtuma"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Back to Category","Takaisin kategoriaan"
"Edit Catalog Event","Muokkaa luettelotapahtumaa"
"Catalog Event Information","Luettelotapahtuman tiedot"
"Category","Kategoria"
"Start Date","Alkamispäivä"
"End Date","Päättymispäivä"
"Image","Kuva"
"Sort Order","Lajittelujärjestys"
"Upcoming","Tuleva(t)"
"Open","Avaa"
"Closed","Suljettu"
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Kategoriasivu"
"Product Page","Tuotesivu"
"Status","Tila"
"[GLOBAL]","[GLOBAALI]"
"[WEBSITE]","[VERKKOKAUPPA]"
"[STORE VIEW]","[KAUPPANÄKYMÄ]"
"Coming Soon","Tulossa pian"
"Sale Ends In","Alennusmyynnin päättymiseen"
"Catalog","Katalogi"
"You deleted the event.","Poistit tapahtuman."
"New Event","Uusi tapahtuma"
"Default Values","Oletusarvot"
"Something went wrong while saving this event.","Tapahtui virhe tallennettaessa tätä tapahtumaa."
"We did not upload your image.","Kuvaa ei lähetetty."
"You saved the event.","Tallensit tapahtuman."
"%1 is required.","%1 on pakollinen."
"Please make sure the end date follows the start date.","Varmista että päättymispäivä seuraa aloituspäivää."
"Event for selected category","Event for selected category"
"Lister Block","Lister Block"
"This product is no longer on sale.","Tämä tuote ei ole enää alennusmyynnissä."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Select Category","Valitse kategoria"
"Use Default Value","Käytä oletusarvoa"
"Days","Päivää"
"Hrs","Tuntia"
"Mins","Minuuttia"
"Sec","Sekuntia"
"Preview Sale","Esikatsele alennusmyyntiä"
"Go To Sale","Siirry alennusmyyntiin"
"View Sale","Tarkastele alennusmyyntiä"
"Previous","Edellinen"
"Next","Seuraava"
"Catalog Events","Luettelon tapahtumat"
"Enable Catalog Events Functionality","Enable Catalog Events Functionality"
"Enable Catalog Event Widget on Storefront","Enable Catalog Event Widget on Storefront"
"Number of Events to be Displayed in Event Slider Widget","Number of Events to be Displayed in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Catalog Events Carousel"
"List all open Catalog Events as a Paginated Carousel","List all open Catalog Events as a Paginated Carousel"
"Frame Size","Frame Size"
"Number of Items to display at once","Number of Items to display at once"
"Scroll","Scroll"
"Number of Items to scroll per click","Number of Items to scroll per click"
"Block Custom Width","Lohkon mukautettu leveys"
"If empty, we'll automatically set the width value in pixels.","Jos tyhjä, leveys määritetään automaattisesti pikseleinä."
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"ID","Tunnus"
"Category ID","Category ID"
"Start","Aloita"
"End","Loppu"
"Countdown Ticker","Countdown Ticker"
"Action","Toiminto"
"Edit","Muokkaa"
"Edit Event...","Muokkaa tapahtumaa..."
"Add Event...","Lisää Tapahtuma..."
