"Read Product Price","Đọc giá sản phẩm"
"Edit Product Price","Chỉnh sửa giá sản phẩm"
"Edit Product Status","Chỉnh sửa tình trạng sản phẩm"
"Default Product Price","Giá sản phẩm mặc định"
"Defines the default product price","Defines the default product price"
