"Read Product Price","خواندن قیمت محصول"
"Edit Product Price","ویرایش قيمت محصول"
"Edit Product Status","ویرایش وضعیت محصول"
"Default Product Price","قیمت پیش فرض محصول"
"Defines the default product price","Defines the default product price"
