"Read Product Price","قرائة سعر المنتج"
"Edit Product Price","تعديل سعر المنتج"
"Edit Product Status","تعديل حالة المنتج"
"Default Product Price","سعر المنتج الافتراضي"
"Defines the default product price","يحدد سعر المنتج الافتراضي"
