"Read Product Price","קרא את מחיר המוצר"
"Edit Product Price","ערוך מחיר מוצר"
"Edit Product Status","ערוך סטטוס מוצר"
"Default Product Price","מחיר המוצר המוגדר כברירת מחדל"
"Defines the default product price","Defines the default product price"
