"Read Product Price","Citește Prețul Produsului"
"Edit Product Price","Modifică preț produs"
"Edit Product Status","Editează Starea Produsului"
"Default Product Price","Preț produs implicit"
"Defines the default product price","Definește prețul implicit al produsului"
