"Read Product Price","Termék árának olvasása"
"Edit Product Price","Termék ár szerkesztése"
"Edit Product Status","Termék állapot szerkesztése"
"Default Product Price","Alapértelmezett termék ár"
"Defines the default product price","Defines the default product price"
