"Read Product Price","ಉತ್ಪನ್ನದ ದರವನ್ನು ಓದಿ"
"Edit Product Price","ಉತ್ಪನ್ನದ ದರವನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Product Status","ಉತ್ಪನ್ನದ ಸ್ಥಿತಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Default Product Price","ನಿಯೋಜಿತ ಉತ್ಪನ್ನದ ದರ"
"Defines the default product price","Defines the default product price"
