"Read Product Price","Produktpreis anzeigen"
"Edit Product Price","Produktpreis bearbeiten"
"Edit Product Status","Produktstatus bearbeiten"
"Default Product Price","Standardproduktpreis"
"Defines the default product price","Definiert den Standard-Produktpreis"
