"Read Product Price","Leggi prezzo prodotto"
"Edit Product Price","Modificare il prezzo del prodotto"
"Edit Product Status","Modificare lo stato del prodotto"
"Default Product Price","Prezzo prodotto predefinito"
"Defines the default product price","Definisce il prezzo del prodotto di default"
