"Read Product Price","Leer precio del artículo"
"Edit Product Price","Editar precio del artículo"
"Edit Product Status","Editar estado del artículo"
"Default Product Price","Precio del artículo (predeterminado)"
"Defines the default product price","Define el precio del producto por defecto"
