"Read Product Price","Ürün Fiyatı"
"Edit Product Price","Ürün fiyatı Düzenle"
"Edit Product Status","Ürün Durumunu Düzenle"
"Default Product Price","Varsayılan Ürün Fiyatı"
"Defines the default product price","Varsayılan ürün fiyatını belirler"
