"Read Product Price","Прочети цена на продукта"
"Edit Product Price","Редактиране на цена на продукта"
"Edit Product Status","Редактиране на състоянието на продукта"
"Default Product Price","Цена на продукта по подразбиране"
"Defines the default product price","Defines the default product price"
