"Read Product Price","Просмотреть цену продукта"
"Edit Product Price","Редактировать цену продукта"
"Edit Product Status","Изменить статус продукта"
"Default Product Price","Цена продукта по умолчанию"
"Defines the default product price","Defines the default product price"
