"Read Product Price","Lue tuotteen hinta"
"Edit Product Price","Muokkaa tuotteen hintaa"
"Edit Product Status","Muokkaa tuotteen tilaa"
"Default Product Price","Tuotteen oletushinta"
"Defines the default product price","Defines the default product price"
