"Read Product Price","Lees Product Prijs"
"Edit Product Price","Bewerk Product Prijs"
"Edit Product Status","Bewerk Product Status"
"Default Product Price","Standaard Product Prijs"
"Defines the default product price","Definieert de standaard product prijs"
