"Read Product Price","Baca Harga Produk"
"Edit Product Price","Edit Harga Produk"
"Edit Product Status","Edit Status Produk"
"Default Product Price","Harga Produk Default"
"Defines the default product price","Mendefinisikan harga produk standar"
