"Read Product Price","Ανάγνωση Τιμής Προϊόντος"
"Edit Product Price","Επεξεργασία Τιμής Προϊόντος"
"Edit Product Status","Επεξεργασία Κατάστασης Προϊόντος"
"Default Product Price","Προεπιλεγμένη τιμή προϊόντος"
"Defines the default product price","Ορίζει την προεπιλεγμένη τιμή προϊόντος"
