"Always","Завжди"
"After number of attempts to login","Після декількох спроб увійти"
"Provided form does not exist","Надана форма не існує"
"Incorrect CAPTCHA","Некоректний CAPTCHA"
"Incorrect CAPTCHA.","Некоректний CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Обліковий запис заблоковано. Будь ласка, зачекайте і спробуйте ще раз або зв\'яжіться з %1."
"Please enter the letters and numbers from the image","Будь ласка, введіть літери ца цифри із зображення"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Увага</strong>: Captcha чутливий до регістру."
"Reload captcha","Перезавантажити captcha"
"Please type the letters and numbers below","Будь ласка, введіть літери та цифри нижче"
"Attention: Captcha is case sensitive.","Увага: Captcha чутливий до регістру."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Увімкнути CAPTCHA в адмін-панелі"
"Font","Шрифт"
"Forms","Форми"
"Displaying Mode","Режим відображення"
"Number of Unsuccessful Attempts to Login","Кількість невдалих спроб входу"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Якщо вказано 0, CAPTCHA на формі входу буде завжди доступний."
"CAPTCHA Timeout (minutes)","Час очікування CAPTCHA (хвилин)"
"Number of Symbols","Кількість символів"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Будь ласка, вкажіть щонайбільше 8 символів. Дозволений діапазон (наприклад, 3-5)"
"Symbols Used in CAPTCHA","Символи, що використовуються в CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Чутливе до регістру"
"Enable CAPTCHA on Storefront","Увімкнути CAPTCHA на Вітрині"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Якщо вибрано, то CAPTCHA завжди увімкнений для форм ""Створити користувача"" та ""Забули пароль""."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
