"Always","Всегда"
"After number of attempts to login","После нескольких попыток авторизоваться"
"Provided form does not exist","При условии, если форма не существует"
"Incorrect CAPTCHA","Некорректная CAPTCHA"
"Incorrect CAPTCHA.","Некорректная CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Учетная запись заблокирована. Пожалуйста, подождите и повторите попытку или свяжитесь с %1."
"Please enter the letters and numbers from the image","Пожалуйста, введите буквы и числа с картинки"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Внимание</strong>: Captcha чувствительна к регистру в полях ввода данных."
"Reload captcha","Обновить captcha"
"Please type the letters and numbers below","Пожалуйста, введите буквы и числа ниже"
"Attention: Captcha is case sensitive.","Внимание: Captcha чувствительна к регистру."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Включить CAPTCHA в админ-панели"
"Font","Шрифт"
"Forms","Формы"
"Displaying Mode","Режим отображения"
"Number of Unsuccessful Attempts to Login","Число неудачных попыток входа в систему"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Если указано значение 0, CAPTCHA в форме авторизации будет всегда доступна."
"CAPTCHA Timeout (minutes)","CAPTCHA время ожидания (в минутах)"
"Number of Symbols","Количество символов"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Пожалуйста, укажите 8 символов. Допустим диапазон значений (например, 3-5)"
"Symbols Used in CAPTCHA","Символы, используемые в CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Пожалуйста, используйте только буквы (a-z или A-Z) и цифры (0-9) в этой области. Не пробелы или другие символы разрешены.<br />аналогичных перспективных символы (например «i», «l», «1») уменьшить вероятность правильного распознавания заказчиком."
"Case Sensitive","С учётом регистра"
"Enable CAPTCHA on Storefront","Включить CAPTCHA в фронтэнде"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA для форм «Создать пользователя» и «Забыли пароль» всегда включена."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
