"Always","Immer"
"After number of attempts to login","Nach Anzahl von Anmeldeversuchen"
"Provided form does not exist","Bereitgestelltes Formular existiert nicht"
"Incorrect CAPTCHA","Falsches CAPTCHA"
"Incorrect CAPTCHA.","Falsches CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Das Konto ist gesperrt. Bitte versuchen Sie es später nochmals oder kontaktieren Sie %1."
"Please enter the letters and numbers from the image","Bitte geben Sie die Buchstaben und Ziffern auf dem Bild ein"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Achtung</strong>: Groß-/Kleinschreibung des Captcha beachten."
"Reload captcha","Captcha neu laden"
"Please type the letters and numbers below","Bitte geben Sie die gezeigten Buchstaben und Zahlen ein"
"Attention: Captcha is case sensitive.","Achtung: Groß-/Kleinschreibung des Captcha beachten."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","CAPTCHA im Admin-Bereich aktivieren"
"Font","Schriftart"
"Forms","Formulare"
"Displaying Mode","Darstellungsmodus"
"Number of Unsuccessful Attempts to Login","Anzahl der erfolglosen Login-Versuche"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Wenn 0 angegeben wird, ist ein CAPTCHA im Login-Formular immer verfügbar."
"CAPTCHA Timeout (minutes)","Ablaufzeit für Captcha (Minuten)"
"Number of Symbols","Anzahl der Zeichen"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Bitte geben Sie maximal 8 Zeichen an. Bereich erlaubt (z.B. 3-5)"
"Symbols Used in CAPTCHA","Im CAPTCHA verwendete Symbole"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Bitte verwenden Sie nur Buchstaben (a-z oder A-Z) oder Zahlen (0-9) in diesem Feld. Leerzeichen oder andere Zeichen sind nicht erlaubt.<br />Ähnlich aussehende Zeichen (z.B. ""i"", ""l"", ""1"") verringern die Möglichkeit der korrekten Erkennung durch den Kunden."
"Case Sensitive","Groß-/Kleinschreibung beachten"
"Enable CAPTCHA on Storefront","Captcha für Frontend aktivieren"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA für ""Benutzer erstellen""- und ""Passwort vergessen""-Formulare sind immer aktiviert, wenn gewählt."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
