"Always","Увек"
"After number of attempts to login","Након броја покушаја да се пријави"
"Provided form does not exist","Наведени образац не постоји"
"Incorrect CAPTCHA","Неисправна ЦАПТЦХА"
"Incorrect CAPTCHA.","Неисправна ЦАПТЦХА."
"The account is locked. Please wait and try again or contact %1.","Овај налог је закључан. Молимо сачекајте и покушајте поново или спојите %1."
"Please enter the letters and numbers from the image","Молимо унесите слова и бројеве са слике"
"<strong>Attention</strong>: Captcha is case sensitive.","<стронг>Пажња</стронг>: Цаптцха је осетљива на мала и велика слова."
"Reload captcha","Освежи цаптцха код"
"Please type the letters and numbers below","Молимо укуцајте слова и бројеве испод"
"Attention: Captcha is case sensitive.","Пажња: Цаптцха је осетљива на мала и велика слова."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Омогући унесите ЦАПТЦХА у Админу"
"Font","Font"
"Forms","Форме"
"Displaying Mode","Режим приказа"
"Number of Unsuccessful Attempts to Login","Број неуспешних покушаја да за пријављивање"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ако је 0 дефинисана, ЦАПТЦХА на форми за логовање ће увек бити доступна."
"CAPTCHA Timeout (minutes)","ЦАПТЦХА је истекла (минути)"
"Number of Symbols","Број симбола"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Молимо навести највише 8 симбола. Распон довољен (на пример 3-5)"
"Symbols Used in CAPTCHA","Симболи коришћени у ЦАПТЦХА"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Молимо користити само слова (а-з или А-З) или бројеве (0-9) у овом пољу. Прореди или други карактери нису дозвољени.<бр />Карактери који су слични (нпр. ""и"", ""л"", ""1"") смањују могућност правилног препознавања од стране купца."
"Case Sensitive","Осетљиво на велика и мала слова"
"Enable CAPTCHA on Storefront","Омогући ЦАПТЦХА у продавници"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","ЦАПТЦХА за ""Креирај корисника"" и ""Заборављена шифра"" форме је увек одобрена, ако је изабрана."
"Please enter the letters from the image","Молимо унесите слова са слике"
"Please type the letters below","Откуцајте слова испод"
