"Always","Vienmēr"
"After number of attempts to login","Pēc noteikta pieslēgšanās mēģinājumu skaita"
"Provided form does not exist","Piedāvātā forma nepastāv"
"Incorrect CAPTCHA","Kļūdains CAPTCHA"
"Incorrect CAPTCHA.","Kļūdains CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Please enter the letters and numbers from the image","Please enter the letters and numbers from the image"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Uzmanību</strong>: Captcha ir reģistrjūtīgs."
"Reload captcha","Pārlēdēt captcha"
"Please type the letters and numbers below","Please type the letters and numbers below"
"Attention: Captcha is case sensitive.","Uzmanību: Captcha ir reģistrjutīgs."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Ieslēgt CAPTCHA administrācijas panelim"
"Font","Fonts"
"Forms","Formas"
"Displaying Mode","Attēlošanas veids"
"Number of Unsuccessful Attempts to Login","Neveiksmīgu pieslēgšanos skaits"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ja ir norādīts 0, Tad CAPTCHA Pieslēgšanās formā būs vienmēr pieejama."
"CAPTCHA Timeout (minutes)","CAPTCHA taimauts (minūtes)"
"Number of Symbols","Simbolu skaits"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Norādiet 8 simbolus. Atļauts norādīt apgabalu (piem. 3-5)"
"Symbols Used in CAPTCHA","CAPTCHA lietotie simboli"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Reģistrjūtīgs"
"Enable CAPTCHA on Storefront","Ieslēgt CAPTCHA veikala priekšpusē"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Ja atzīmēts, tad CAPTCHA ir vienmēr ieslēgta priekš ""Izveidot jaunu lietotāju"" un ""Aizmirsta parole"" formām."
"Please enter the letters from the image","Lūdzu ievadiet burtus no attēla"
"Please type the letters below","Ievadiet simbolus"
