"Always","Sempre"
"After number of attempts to login","Após o número de tentativas de login"
"Provided form does not exist","Formulário fornecido não existe"
"Incorrect CAPTCHA","Código de Captcha incorreto"
"Incorrect CAPTCHA.","CAPTCHA incorreto."
"The account is locked. Please wait and try again or contact %1.","A conta está bloqueada. Por favor aguarde e tente novamente, ou entre em contato com %1."
"Please enter the letters and numbers from the image","Por favor digite as letras e números da imagem"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: Captcha diferencia maiúsculas de minúsculas."
"Reload captcha","Recarregar captcha"
"Please type the letters and numbers below","Por favor digite as letras e números abaixo"
"Attention: Captcha is case sensitive.","Atenção: O Captcha diferencia maiúsculas de minúsculas."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Ativar o CAPTCHA no Admin"
"Font","Tipo de letra"
"Forms","Formulários"
"Displaying Mode","Modo de exibição"
"Number of Unsuccessful Attempts to Login","Número de Tentativas Falhadas de Login"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se indicar 0, o CAPTCHA estará sempre ativo no formulário de Login."
"CAPTCHA Timeout (minutes)","Timeout do CAPTCHA (minutos)"
"Number of Symbols","Número de Caracteres"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor indique no máximo 8 caracteres. Intervalo permitido (ex: 3-5)"
"Symbols Used in CAPTCHA","Caracteres usados no CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Por favor, use apenas letras (a-z ou A-Z) ou números (0-9) neste campo. Nenhum espaço ou outro caractere é permitido.<br />Caracteres de aparência semelhante (por exemplo, ""i"", ""l"", ""1"") diminuem a chance de reconhecimento correto pelo cliente."
"Case Sensitive","Sensível a Maiúsculas e Minúsculas"
"Enable CAPTCHA on Storefront","Ativar CAPTCHA na Frente de Loja"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA para formulários ""Criar usuário"" e ""Esqueci minha senha"" estarão sempre ativos se escolhida."
"Please enter the letters from the image","Por favor insira as letras da imagem"
"Please type the letters below","Please type the letters below"
