"Always","Toujours"
"After number of attempts to login","Après un nombre de tentatives de connexion"
"Provided form does not exist","Le formulaire fourni n'existe pas"
"Incorrect CAPTCHA","CAPTCHA incorrect"
"Incorrect CAPTCHA.","CAPTCHA incorrect."
"The account is locked. Please wait and try again or contact %1.","Le compte est verrouillé. S’il vous plaît attendez et réessayez ou contactez %1."
"Please enter the letters and numbers from the image","Veuillez saisir les lettres et les chiffres de l'image"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong> : le captcha est sensible à la casse."
"Reload captcha","Recharger le captcha"
"Please type the letters and numbers below","Veuillez saisir les lettres et les chiffres ci-dessous"
"Attention: Captcha is case sensitive.","Attention : Le Captcha est sensible à la casse."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Activer le CAPTCHA dans l'admin"
"Font","Police"
"Forms","Formulaires"
"Displaying Mode","Mode d'affichage"
"Number of Unsuccessful Attempts to Login","Nombre d'essais infructueux"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si 0 est choisi, le CAPTCHA sera toujours disponible dans le formulaire de connexion."
"CAPTCHA Timeout (minutes)","Délai d'attente du CAPTCHA (minutes)"
"Number of Symbols","Nombre de symboles"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Spécifiez au maximum 8 symboles. Les tranches sont acceptées (par ex. 3-5)"
"Symbols Used in CAPTCHA","Symboles utilisés dans le CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Utilisez uniquement des lettres (a-z ou A-Z) et des chiffres (0-9). Aucun espace ou autre caractère n'est autorisé.<br/>Les caractères à l'apparence proche (ex : « i », « l », « 1 ») diminuent les chances de reconnaissance correcte par l'internaute."
"Case Sensitive","Sensible à la casse"
"Enable CAPTCHA on Storefront","Activez le CAPTCHA sur le site"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Le CAPTCHA pour les formulaires de création d'utilisateur et d'oubli de mot de passe est toujours activé si ce choix est fait."
"Please enter the letters from the image","Veuillez saisir les lettres de l'image"
"Please type the letters below","Veuillez saisir les lettres ci-dessous"
