"Always","Vždy"
"After number of attempts to login","Po niekoľkých pokusoch o prihlásenie"
"Provided form does not exist","Požadovaný formulár neexistuje"
"Incorrect CAPTCHA","Nesprávna CAPTCHA"
"Incorrect CAPTCHA.","Nesprávna CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Konto je uzamknuté. Počkajte a skúste to znova alebo kontaktujte %1."
"Please enter the letters and numbers from the image","Please enter the letters and numbers from the image"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pozor</strong>: Rozlišujte malé a veľké písmená."
"Reload captcha","Obnoviť"
"Please type the letters and numbers below","Please type the letters and numbers below"
"Attention: Captcha is case sensitive.","Pozor: Captcha rozišuje malé a veľké písmená."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Povoliť CAPTCHA v Administrácii"
"Font","Písmo"
"Forms","Formuláre"
"Displaying Mode","Režim zobrazenia"
"Number of Unsuccessful Attempts to Login","Počet neúspešných pokusov o prihlásenie"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ak je zadaná 0, CAPTCHA na formulári prihlásiť bude vždy k dispozícii."
"CAPTCHA Timeout (minutes)","Časový limit pre CAPTCHA (minút)"
"Number of Symbols","Počet symbolov"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Uveďte najviac 8 znakov. Rozsah povolený (napr. 3-5)"
"Symbols Used in CAPTCHA","Symboly použité v CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Rozlišovať malé a veľké písmená"
"Enable CAPTCHA on Storefront","Povoliť CAPTCHA v obchode"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Ak to povolíte, formuláre ""Vytvoriť užívateľa"" a ""Zabudnuté heslo"" budú vždy vyžadovať CAPTCHAu."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
