"Always","Секогаш"
"After number of attempts to login","После број на обиди за најавување"
"Provided form does not exist","Provided form does not exist"
"Incorrect CAPTCHA","Внесениот код е погрешен"
"Incorrect CAPTCHA.","Внесениот код е погрешен."
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Please enter the letters and numbers from the image","Ве молиме внесете ги буквите и броевите од сликата"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>: Captcha is case sensitive."
"Reload captcha","Нов код"
"Please type the letters and numbers below","Ве молиме внесте го кодот"
"Attention: Captcha is case sensitive.","Attention: Captcha is case sensitive."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Enable CAPTCHA in Admin"
"Font","Font"
"Forms","Forms"
"Displaying Mode","Displaying Mode"
"Number of Unsuccessful Attempts to Login","Број на неуспешни обиди за најава"
"If 0 is specified, CAPTCHA on the Login form will be always available.","If 0 is specified, CAPTCHA on the Login form will be always available."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutes)"
"Number of Symbols","Number of Symbols"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Please specify 8 symbols at the most. Range allowed (e.g. 3-5)"
"Symbols Used in CAPTCHA","Symbols Used in CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Case Sensitive"
"Enable CAPTCHA on Storefront","Enable CAPTCHA on Storefront"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
