"Always","Vždy"
"After number of attempts to login","Po několika pokusech o přihlášení"
"Provided form does not exist","Poskytnutý formulář neexistuje"
"Incorrect CAPTCHA","Kontrolní text je neplatný"
"Incorrect CAPTCHA.","Kontrolní text je neplatný."
"The account is locked. Please wait and try again or contact %1.","Účet je uzamčen. Počkejte chvíli a zkuste to později nebo kontaktujte %1."
"Please enter the letters and numbers from the image","Prosím zadejte písmena a číslice z obrázku"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Upozornění</strong>: Rozlišujte velikost znaků."
"Reload captcha","Obnovit"
"Please type the letters and numbers below","Prosím opište níže uvedené znaky"
"Attention: Captcha is case sensitive.","Upozornění: Rozlišujte velikost znaků."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Zapnout CAPTCHA ve správě"
"Font","Písmo"
"Forms","Formuláře"
"Displaying Mode","Režim zobrazení"
"Number of Unsuccessful Attempts to Login","Počet neúspěšných pokusů o přihlášení"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Je-li zadána 0, pak v přihlašovacím formuláři bude CAPTCHA vždy aktivní."
"CAPTCHA Timeout (minutes)","Časový limit (minuty)"
"Number of Symbols","Počet symbolů"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specifikujte maximálně 8-mi znaky. Rozsah lze zadat (např. 3-5)"
"Symbols Used in CAPTCHA","Použité znaky"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Do tohoto údaje zadávejte pouze písmena (a-z či A-Z) nebo čísla (0-9). Jiné znaky včetně mezer nejsou povoleny.<br />Zadáním podobně vypadajících znaků (např. """"i"""", """"l"""", """"1"""") ztížíte uživateli správné zadání."
"Case Sensitive","Rozlišovat velikost znaků"
"Enable CAPTCHA on Storefront","Zapnout CAPTCHA v obchodu"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Při této volbě je CAPTCHA kontrola ve formulářích ""Vytvořit účet"" a ""Obnova hesla"" zapnuta vždy."
"Please enter the letters from the image","Zadejte prosím znaky z obrázku"
"Please type the letters below","Prosím opište níže uvedené znaky"
