"Always","Alltid"
"After number of attempts to login","Etter antall forsøk på å logge inn"
"Provided form does not exist","Skjemaet eksisterer ikke"
"Incorrect CAPTCHA","Feil CAPTCHA"
"Incorrect CAPTCHA.","Feil CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Kontoen er låst. Vennligst vent og prøv igjen eller kontakt %1."
"Please enter the letters and numbers from the image","Skriv inn bokstavene og tallene fra bildet"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Merk</strong>: Captcha er case sensitive."
"Reload captcha","Laste inn captcha på nytt"
"Please type the letters and numbers below","Skriv inn bokstavene og tallene nedenfor"
"Attention: Captcha is case sensitive.","Merk: Captcha er case sensitive."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Aktiver CAPTCHA i Admin"
"Font","Skrifttype"
"Forms","Skjemaer"
"Displaying Mode","Visningsmodus"
"Number of Unsuccessful Attempts to Login","Antall mislykkede forsøk i å logge inn"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Hvis 0 er angitt, blir CAPTCHA på påloggingsskjema alltid tilgjengelig."
"CAPTCHA Timeout (minutes)","CAPTCHA tidsavbrudd (minutter)"
"Number of Symbols","Antall symboler"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Venligst spesifiser maksimum 8 symboler. Utvalg tillatt (f.eks. 3-5)"
"Symbols Used in CAPTCHA","Symboler som brukes i CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Skill mellom store og små bokstaver"
"Enable CAPTCHA on Storefront","Aktiver CAPTCHA i butikk"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Opprett bruker"" og ""Glemt passord"" skjemaer er alltid aktivert hvis valgt."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
