"Always","Винаги"
"After number of attempts to login","След брой неуспешни опити за логване"
"Provided form does not exist","Този формуляр не съществува"
"Incorrect CAPTCHA","Неправилен CAPTCHA"
"Incorrect CAPTCHA.","Неправилен CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Профилът е заключен. Моля изчакайте и опитайте отново или се свържете с %1."
"Please enter the letters and numbers from the image","Моля въведете буквите и цифрите от картинката"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Внимание</strong>: Captcha различава малки иглавни букви."
"Reload captcha","Презареди изображението"
"Please type the letters and numbers below","Моля въведете буквите и цифрите по-долу"
"Attention: Captcha is case sensitive.","Внимание: Captcha различава малки и главни букви."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Разреши CAPTCHA в администратративната част"
"Font","Шрифт"
"Forms","Форми"
"Displaying Mode","Показване на режим"
"Number of Unsuccessful Attempts to Login","Брой неуспешни опити за влизане"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Ако указаното е 0, формуляра CAPTCHA за влизане ще бъде винаги достъпен."
"CAPTCHA Timeout (minutes)","CAPTCHA изчакване (минути)"
"Number of Symbols","Брой символи"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Моля, посочете най-малко 8 символа. Разрешен диапазон (например 3-5)"
"Symbols Used in CAPTCHA","Символи, използвани в CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Моля, използвайте само букви (а-я или А-Я) или цифри (0-9) в това поле. Без интервали или други знаци < br / > подобни търсят знаци (например ""и"", ""И"") намалява шанса за правилно разпознаване от клиента."
"Case Sensitive","Различава малки и главни букви"
"Enable CAPTCHA on Storefront","Разреши разпознаване на CAPTCHA в магазина"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Ако е избрано, CAPTCHA ще бъде разрешена за формите за ""Регистрация"" и ""Забравена парола""."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
