"Always","Sempre"
"After number of attempts to login","Após o número de tentativas de login"
"Provided form does not exist","O formulário fornecido não existe"
"Incorrect CAPTCHA","CAPTCHA incorreto"
"Incorrect CAPTCHA.","CAPTCHA incorreto."
"The account is locked. Please wait and try again or contact %1.","A conta está bloqueada. Por favor aguarde e tente novamente ou entre em contacto com %1."
"Please enter the letters and numbers from the image","Please enter the letters and numbers from the image"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: O Captcha diferencia maiúsculas de minúsculas."
"Reload captcha","Recarregar Captcha"
"Please type the letters and numbers below","Please type the letters and numbers below"
"Attention: Captcha is case sensitive.","Atenção: O Captcha diferencia maiúsculas de minúsculas."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Ativar o CAPTCHA na secção de Admin"
"Font","Tipo de letra"
"Forms","Formulários"
"Displaying Mode","Modo de exibição"
"Number of Unsuccessful Attempts to Login","Número de Tentativas Falhadas de Login"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se indicar 0, o CAPTCHA estará sempre ativo no formulário de Login."
"CAPTCHA Timeout (minutes)","Timeout do CAPTCHA (minutos)"
"Number of Symbols","Número de Caracteres"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor indique 8 caracteres no máximo. Intervalo permitido (ex: 3-5)"
"Symbols Used in CAPTCHA","Caracteres usados no CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Por favor use apenas letras (a-z or A-Z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres.<br />Caracteres de aparência similar (e.g. ""i"", ""l"", ""1"") diminuem a probabilidade de reconhecimento correto pela parte do cliente."
"Case Sensitive","Sensível a Maiúsculas e Minúsculas"
"Enable CAPTCHA on Storefront","Ativar CAPTCHA na Loja"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA para formulários ""Criar utilizador"" e ""Esqueceu-se da palavra-passe"" estarão sempre ativos se escolhida."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
