"Always","Her zaman"
"After number of attempts to login","Belli sayıda giriş denemesinden sonra"
"Provided form does not exist","Sağlanan form mevcut değil"
"Incorrect CAPTCHA","Yanlış CAPTCHA"
"Incorrect CAPTCHA.","Hatalı CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Hesap kilitli. Lütfen bekleyin ve yeniden deneyin veya %1 başvurun."
"Please enter the letters and numbers from the image","Lütfen resimdeki harfleri ve sayıları girin"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Dikkat</strong>: Resim onayı (CAPTCHA) büyük/küçük harfe duyarlıdır."
"Reload captcha","Captcha' yı yeniden yükle"
"Please type the letters and numbers below","Lütfen aşağıdaki harfleri ve sayıları yazın"
"Attention: Captcha is case sensitive.","Dikkat: Captcha büyük küçük harf duyarlıdır."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Yönetici girişi için CAPTCHA kullan"
"Font","Yazı tipi"
"Forms","Formlar"
"Displaying Mode","Gösterim Modu"
"Number of Unsuccessful Attempts to Login","Başarısız giriş denemesi sayısı"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Eğer 0 (sıfır) girerseniz, oturum açma formunda CAPTCHA sürekli kullanılacaktır."
"CAPTCHA Timeout (minutes)","CAPTCHA Zaman aşımı (dakika)"
"Number of Symbols","Harf sayısı"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Lütfen en fazla 8 karakter seçiniz. Aralık da girebilirsiniz (Örnek: 3-5)"
"Symbols Used in CAPTCHA","CAPTCHA'da semboller kullanıldı"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Bu alanda lütfen sadece harf (a-z ya da A-Z) ya da numara(0-9) kullanın. Boşluk karakteri ya da diğer karakterlere izin verilmez.<br /> benzer görünümlü karakterler(örneğin ""i"", ""I"",""1"") müşterinin doğru algılama şansını azaltmaktadır."
"Case Sensitive","Büyük/Küçük harfe duyarlı"
"Enable CAPTCHA on Storefront","CAPTCHA yı mağazada etkinleştirme"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA ""Kullanıcı oluştur"" ve ""Şifremi unuttum"" formları için her zaman tercih etkinleştirilir."
"Please enter the letters from the image","Lütfen resimdeki harfleri girin"
"Please type the letters below","Lütfen harfleri aşağıya yazınız"
