"Always","Siempre"
"After number of attempts to login","Tras varios intentos de iniciar sesión"
"Provided form does not exist","El formulario proporcionado no existe"
"Incorrect CAPTCHA","CAPTCHA incorrecto"
"Incorrect CAPTCHA.","CAPTCHA incorrecto."
"The account is locked. Please wait and try again or contact %1.","La cuenta está bloqueada. Por favor espere e inténtelo de nuevo o póngase en contacto con %1."
"Please enter the letters and numbers from the image","Por favor introduzca las letras y los números de la imagen"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atención</strong>: Captcha es sensible al uso de mayúsculas y minúsculas."
"Reload captcha","Recargar captcha"
"Please type the letters and numbers below","Por favor, escriba las letras y los números siguientes"
"Attention: Captcha is case sensitive.","Atención: El Captcha es sensible a mayúsculas."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Habilitar CAPTCHA en admin"
"Font","Tipo de letra"
"Forms","Formularios"
"Displaying Mode","Modo de visualización"
"Number of Unsuccessful Attempts to Login","Número de intentos fallidos de iniciar sesión"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si se especifica 0, el CAPTCHA siempre estará disponible en el formulario de inicio de sesión."
"CAPTCHA Timeout (minutes)","Tiempo de espera de CAPTCHA (minutos)"
"Number of Symbols","Número de símbolos"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Especifique un máximo de 8 símbolos. Se permiten intervalos (por ejemplo 3-5)"
"Symbols Used in CAPTCHA","Símbolos usados en CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Utilice solo letras (a-z o A-Z) o números (0-9) en este campo. No se permiten espacios ni otros caracteres.<br />Los caracteres de apariencia semejante (por ejemplo ""i"", ""l"", ""1"") dificultan su reconocimiento por parte del cliente."
"Case Sensitive","Sensible a mayúsculas"
"Enable CAPTCHA on Storefront","Habilitar CAPTCHA en tienda"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","El CAPTCHA estará habilitado siempre para los formularios de ""Nuevo usuario"" y ""Olvido de contraseña"", sólo si es elegido así."
"Please enter the letters from the image","Por favor, introduce las letras de la imagen"
"Please type the letters below","Por favor, escriba las letras de abajo"
